cohort,normalization,partition_seed,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,rank,42,Adaptive_Subspace_Fusion,0.875,0.03952847075210474,0.8732904659839644,0.04018108330303391
UCI-489,rank,42,Fused_Grassmann_GSMOTE,0.875,0.03952847075210474,0.8732904659839644,0.04018108330303391
UCI-489,rank,42,Euclidean_RBF_GSMOTE,0.8625,0.036443449342783124,0.8604426601949822,0.03699573277529141
UCI-489,rank,42,PLS_DA,0.825,0.03061862178478972,0.8224968151903136,0.031248912058411394
UCI-489,rank,42,Balanced_RandomForest,0.8,0.049999999999999996,0.7989169000933707,0.050084799511763464
UCI-489,rank,42,Balanced_LinearSVM,0.8,0.012499999999999999,0.7973987759746274,0.012895913936796219
UCI-489,rank,42,Balanced_LogReg,0.8,0.023385358667337132,0.795578898225957,0.02565258543045974
UCI-489,rank,42,SMOTE_LogReg,0.8,0.023385358667337132,0.795578898225957,0.02565258543045974
UCI-489,standard,42,Euclidean_RBF_GSMOTE,0.8625,0.041457809879442496,0.8595463016515648,0.04235476600490527
UCI-489,standard,42,Adaptive_Subspace_Fusion,0.85,0.04238956239453292,0.8472960682248608,0.04314500811975592
UCI-489,standard,42,Fused_Grassmann_GSMOTE,0.85,0.04238956239453292,0.8472960682248608,0.04314500811975592
UCI-489,standard,42,Balanced_RandomForest,0.8125,0.04419417382415922,0.8108683473389355,0.04447701025043973
UCI-489,standard,42,PLS_DA,0.8125,0.03952847075210474,0.8105453679447487,0.03970221298852743
UCI-489,standard,42,Balanced_LogReg,0.775,0.04238956239453292,0.7701532110820037,0.04266780115786655
UCI-489,standard,42,SMOTE_LogReg,0.775,0.04238956239453292,0.7701532110820037,0.04266780115786655
UCI-489,standard,42,Balanced_LinearSVM,0.7125,0.01530931089239486,0.7035732619633549,0.014992871539008253
PD-252,rank,42,Adaptive_Subspace_Fusion,0.8163110478899952,0.03996338723816011,0.8105297284536569,0.03394265348356816
PD-252,rank,42,Subspace_q16,0.81381077433709,0.03475257217484308,0.8123824002084872,0.024730920437942686
PD-252,rank,42,Subspace_q8,0.8091175183280447,0.038615618539748646,0.8042418520107308,0.030482761669297493
PD-252,rank,42,Subspace_q32,0.7977851333114492,0.04133340006063951,0.7990679502870732,0.032571133944641534
PD-252,rank,42,Fused_Grassmann_GSMOTE,0.7819847175110333,0.034602949146813375,0.7814457956347989,0.02808937824715298
PD-252,rank,42,SMOTE_LogReg,0.7773397891818945,0.028052832919452205,0.785917336317794,0.02475628653738086
PD-252,rank,42,Balanced_LogReg,0.7694450523397893,0.026761128980703545,0.7737082220560482,0.023320361952897845
PD-252,rank,42,Euclidean_RBF_GSMOTE,0.7660529963161543,0.035237802828856815,0.7572811811232864,0.028488500557168287
PD-252,rank,42,PLS_DA,0.7465331728489624,0.05096352418399154,0.7439777072776946,0.050416972905131294
PD-252,rank,42,Balanced_LinearSVM,0.7337463982200825,0.042845958316359685,0.7467117942018009,0.042823929477078665
PD-252,rank,42,Balanced_RandomForest,0.6708802932487143,0.03696204136559798,0.6957564996492164,0.04233457477573194
PD-252,standard,42,PLS_DA,0.7987708356129409,0.035196696182063746,0.8072813755897379,0.030457927786305503
PD-252,standard,42,Adaptive_Subspace_Fusion,0.7623226465331727,0.01814135517709706,0.7682414747445017,0.015433257223770114
PD-252,standard,42,Subspace_q16,0.761835722362038,0.014847475755751755,0.7638191687056016,0.01792717228140397
PD-252,standard,42,Subspace_q32,0.7571907940328994,0.015946114683669348,0.7658585537826335,0.014106813320223415
PD-252,standard,42,Euclidean_RBF_GSMOTE,0.7434629974103659,0.02068341790732119,0.7453100992574677,0.018775545392625353
PD-252,standard,42,Subspace_q8,0.7376417915891601,0.026413618735252442,0.7305012287046686,0.019209746000620177
PD-252,standard,42,Fused_Grassmann_GSMOTE,0.7309607178028231,0.032406444646666054,0.7493791023689208,0.030898352018309434
PD-252,standard,42,Balanced_LogReg,0.7299978115767589,0.011102239607593075,0.7358341091632231,0.010452202891530026
PD-252,standard,42,SMOTE_LogReg,0.7299266878214248,0.009466173283276286,0.7354339441108841,0.005681913354468978
PD-252,standard,42,Balanced_LinearSVM,0.722234380129117,0.014045414014232616,0.7296094179572441,0.014894785059810196
PD-252,standard,42,Balanced_RandomForest,0.7040075500601817,0.04494664981719764,0.7294517003588583,0.045280667461499495
