cohort,fold,normalization,space,n_features,n_train_recordings,chordal_mean,chordal_cv,euclidean_cv
UCI-489,1,standard,full,45,192,1.517299886371692,0.05188441085921002,0.4080474430884795
UCI-489,1,rank,full,45,192,1.473641329995693,0.06592735762934099,0.36716990526405746
UCI-489,1,rank,subspace_q8,45,192,1.2332509572583201,0.11284369625321686,0.39795612768998195
UCI-489,1,rank,subspace_q16,45,192,1.393280072809266,0.07566578429774251,0.38555433503445957
UCI-489,1,rank,subspace_q32,45,192,1.4620267784616314,0.0633947876827149,0.37605862919185773
UCI-489,2,standard,full,45,192,1.5141976241852007,0.05124624448007388,0.40772007062691024
UCI-489,2,rank,full,45,192,1.4832388334470403,0.06550142238595268,0.3565889756510275
UCI-489,2,rank,subspace_q8,45,192,1.2607433912051338,0.10381186260216821,0.3922501607045742
UCI-489,2,rank,subspace_q16,45,192,1.3949957526678392,0.0791930843762903,0.3813385884427864
UCI-489,2,rank,subspace_q32,45,192,1.4722921785130871,0.06394809593635148,0.3699166430904573
UCI-489,3,standard,full,45,192,1.5191062931957329,0.048828385866325145,0.4118097116491568
UCI-489,3,rank,full,45,192,1.4873493103451254,0.06406062592622769,0.3596067043283284
UCI-489,3,rank,subspace_q8,45,192,1.246550226088794,0.11201948566317955,0.3971427316944964
UCI-489,3,rank,subspace_q16,45,192,1.390496249174345,0.07820911340495965,0.38543211106884084
UCI-489,3,rank,subspace_q32,45,192,1.4619911557982535,0.06432322939361874,0.37535837726344373
UCI-489,4,standard,full,45,192,1.5154274007060993,0.053236668322762914,0.411082389441539
UCI-489,4,rank,full,45,192,1.4825814377188482,0.06701394542555573,0.36045250729718586
UCI-489,4,rank,subspace_q8,45,192,1.2388812810966299,0.11442583721737724,0.3955556273043095
UCI-489,4,rank,subspace_q16,45,192,1.3833153639374016,0.08109430874010791,0.3837466842111876
UCI-489,4,rank,subspace_q32,45,192,1.46332911184892,0.06680647295513346,0.3723191436200556
UCI-489,5,standard,full,45,192,1.5140195862891441,0.05312344456295042,0.3814227559756933
UCI-489,5,rank,full,45,192,1.4784458417177841,0.06548055599757743,0.3398500966716772
UCI-489,5,rank,subspace_q8,45,192,1.2541131109584136,0.10747916595346994,0.37639606622234123
UCI-489,5,rank,subspace_q16,45,192,1.3973204387020899,0.07708222112961595,0.3637984082418137
UCI-489,5,rank,subspace_q32,45,192,1.4665733276564843,0.0652848390560723,0.35256664583585307
PD-252,1,standard,full,753,603,1.6912982289269614,0.019400451784942378,0.36763031934678797
PD-252,1,rank,full,753,603,1.5795006094583084,0.03502947249958358,0.23015226735903854
PD-252,1,rank,subspace_q8,753,603,1.2984412913178134,0.0999704660169379,0.3520421089195408
PD-252,1,rank,subspace_q16,753,603,1.4774455113314466,0.060840656593757696,0.3150661649928826
PD-252,1,rank,subspace_q32,753,603,1.56497545216027,0.04284262597498499,0.2921783228780401
PD-252,2,standard,full,753,603,1.6912521076832552,0.01976449591846831,0.3613648120944646
PD-252,2,rank,full,753,603,1.5782050646879273,0.03497696049588648,0.23157012315766815
PD-252,2,rank,subspace_q8,753,603,1.2934208579149182,0.10191848776096378,0.3602799392848038
PD-252,2,rank,subspace_q16,753,603,1.4617441394110846,0.06536735854035435,0.3191419338814744
PD-252,2,rank,subspace_q32,753,603,1.5583083575974008,0.045286941948334256,0.29554956538258
PD-252,3,standard,full,753,606,1.6911022204655342,0.01939504457559038,0.36337078832500036
PD-252,3,rank,full,753,606,1.5783790331957415,0.036070918400629884,0.2338159192227371
PD-252,3,rank,subspace_q8,753,606,1.299093650664404,0.09911400811007301,0.36760214406381214
PD-252,3,rank,subspace_q16,753,606,1.4706775624514217,0.06271912769390174,0.3242407631627389
PD-252,3,rank,subspace_q32,753,606,1.5587089660077502,0.04501495965476592,0.3004174315000966
PD-252,4,standard,full,753,606,1.6918418838386697,0.019147506827219222,0.3686222559843749
PD-252,4,rank,full,753,606,1.579107261216841,0.03524925412137464,0.23249514659724047
PD-252,4,rank,subspace_q8,753,606,1.2991560829039035,0.09997867147158808,0.35111501831586645
PD-252,4,rank,subspace_q16,753,606,1.4684987120690272,0.06310909982259418,0.31932507346775013
PD-252,4,rank,subspace_q32,753,606,1.55897661238203,0.044442644378095406,0.2972996729040698
PD-252,5,standard,full,753,606,1.6918285106510524,0.01950675613103481,0.3825539999055475
PD-252,5,rank,full,753,606,1.5776092416033034,0.03526279203117001,0.2307282447966771
PD-252,5,rank,subspace_q8,753,606,1.2684329026433168,0.1066424744460804,0.37497867581398775
PD-252,5,rank,subspace_q16,753,606,1.453385987404995,0.06676091098114556,0.3289185907741942
PD-252,5,rank,subspace_q32,753,606,1.5498753003456784,0.04707400826216706,0.30473332386143753
