fold,method,balanced_accuracy,macro_f1,TN,FP,FN,TP,synthetic_subjects
1,Adaptive_Subspace_Fusion,0.8451417004048583,0.8451417004048583,10,3,3,35,0
1,Subspace_q8,0.819838056680162,0.8365384615384617,9,4,2,36,0
1,Subspace_q16,0.8066801619433198,0.8145454545454545,9,4,3,35,0
1,Subspace_q32,0.7682186234817814,0.7820512820512822,8,5,3,35,0
1,Fused_Grassmann_GSMOTE,0.7550607287449393,0.7615584415584415,8,5,4,34,99
1,Euclidean_RBF_GSMOTE,0.7419028340080972,0.7419028340080972,8,5,5,33,99
1,Balanced_LogReg,0.8188259109311742,0.803088803088803,10,3,5,33,0
1,Balanced_LinearSVM,0.8582995951417004,0.8675324675324676,10,3,2,36,0
1,SMOTE_LogReg,0.8451417004048583,0.8451417004048583,10,3,3,35,99
2,Adaptive_Subspace_Fusion,0.7803643724696356,0.7733333333333333,9,4,5,33,0
2,Subspace_q8,0.7419028340080972,0.7419028340080972,8,5,5,33,0
2,Subspace_q16,0.7803643724696356,0.7733333333333333,9,4,5,33,0
2,Subspace_q32,0.7803643724696356,0.7733333333333333,9,4,5,33,0
2,Fused_Grassmann_GSMOTE,0.7935222672064777,0.7935222672064777,9,4,4,34,99
2,Euclidean_RBF_GSMOTE,0.7803643724696356,0.7733333333333333,9,4,5,33,99
2,Balanced_LogReg,0.7034412955465588,0.7085714285714286,7,6,5,33,0
2,Balanced_LinearSVM,0.6912955465587045,0.7102272727272727,6,7,3,35,0
2,SMOTE_LogReg,0.7165991902834008,0.7275641025641026,7,6,4,34,99
3,Adaptive_Subspace_Fusion,0.7543859649122806,0.7401247401247402,8,4,6,32,0
3,Subspace_q8,0.8092105263157895,0.7920997920997921,9,3,5,33,0
3,Subspace_q16,0.7938596491228069,0.8023715415019763,8,4,3,35,0
3,Subspace_q32,0.7521929824561404,0.766899766899767,7,5,3,35,0
3,Fused_Grassmann_GSMOTE,0.7521929824561404,0.766899766899767,7,5,3,35,98
3,Euclidean_RBF_GSMOTE,0.7258771929824561,0.7258771929824561,7,5,5,33,98
3,Balanced_LogReg,0.7521929824561404,0.766899766899767,7,5,3,35,0
3,Balanced_LinearSVM,0.7521929824561404,0.766899766899767,7,5,3,35,0
3,SMOTE_LogReg,0.7521929824561404,0.766899766899767,7,5,3,35,98
4,Adaptive_Subspace_Fusion,0.9594594594594594,0.9271491015055853,13,0,3,34,0
4,Subspace_q8,0.9459459459459459,0.9047619047619047,13,0,4,33,0
4,Subspace_q16,0.9459459459459459,0.9047619047619047,13,0,4,33,0
4,Subspace_q32,0.9594594594594594,0.9271491015055853,13,0,3,34,0
4,Fused_Grassmann_GSMOTE,0.9074844074844075,0.878581835842642,12,1,4,33,100
4,Euclidean_RBF_GSMOTE,0.893970893970894,0.8571428571428572,12,1,5,32,100
4,Balanced_LogReg,0.8440748440748441,0.8440748440748441,10,3,3,34,0
4,Balanced_LinearSVM,0.7671517671517671,0.7807017543859649,8,5,3,34,0
4,SMOTE_LogReg,0.8440748440748441,0.8440748440748441,10,3,3,34,100
5,Adaptive_Subspace_Fusion,0.7422037422037422,0.7668997668997669,7,6,2,35,0
5,Subspace_q8,0.7286902286902287,0.745906267645398,7,6,3,34,0
5,Subspace_q16,0.7422037422037422,0.7668997668997669,7,6,2,35,0
5,Subspace_q32,0.7286902286902287,0.745906267645398,7,6,3,34,0
5,Fused_Grassmann_GSMOTE,0.7016632016632016,0.7066666666666667,7,6,5,32,100
5,Euclidean_RBF_GSMOTE,0.6881496881496881,0.6881496881496881,7,6,6,31,100
5,Balanced_LogReg,0.7286902286902287,0.745906267645398,7,6,3,34,0
5,Balanced_LinearSVM,0.5997920997920998,0.6081977094635322,4,9,4,33,0
5,SMOTE_LogReg,0.7286902286902287,0.745906267645398,7,6,3,34,100
