method,balanced_accuracy_mean,balanced_accuracy_se,macro_f1_mean,macro_f1_se,n_folds
Adaptive_Subspace_Fusion,0.8163110478899952,0.03996338723816011,0.8105297284536569,0.03394265348356816,5
Subspace_q16,0.81381077433709,0.03475257217484308,0.8123824002084872,0.024730920437942686,5
Subspace_q8,0.8091175183280447,0.038615618539748646,0.8042418520107308,0.030482761669297493,5
Subspace_q32,0.7977851333114492,0.04133340006063951,0.7990679502870732,0.032571133944641534,5
Fused_Grassmann_GSMOTE,0.7819847175110333,0.034602949146813375,0.7814457956347989,0.02808937824715298,5
SMOTE_LogReg,0.7773397891818945,0.028052832919452205,0.785917336317794,0.02475628653738086,5
Balanced_LogReg,0.7694450523397893,0.026761128980703545,0.7737082220560482,0.023320361952897845,5
Euclidean_RBF_GSMOTE,0.7660529963161543,0.035237802828856815,0.7572811811232864,0.028488500557168287,5
PLS_DA,0.7465331728489624,0.05096352418399154,0.7439777072776946,0.050416972905131294,5
Balanced_LinearSVM,0.7337463982200825,0.042845958316359685,0.7467117942018009,0.042823929477078665,5
Balanced_RandomForest,0.6708802932487143,0.03696204136559798,0.6957564996492164,0.04233457477573194,5
