method,balanced_accuracy_mean,balanced_accuracy_se,macro_f1_mean,macro_f1_se,n_folds
PLS_DA,0.7987708356129409,0.035196696182063746,0.8072813755897379,0.030457927786305503,5
Adaptive_Subspace_Fusion,0.7623226465331727,0.01814135517709706,0.7682414747445017,0.015433257223770114,5
Subspace_q16,0.761835722362038,0.014847475755751755,0.7638191687056016,0.01792717228140397,5
Subspace_q32,0.7571907940328994,0.015946114683669348,0.7658585537826335,0.014106813320223415,5
Euclidean_RBF_GSMOTE,0.7434629974103659,0.02068341790732119,0.7453100992574677,0.018775545392625353,5
Subspace_q8,0.7376417915891601,0.026413618735252442,0.7305012287046686,0.019209746000620177,5
Fused_Grassmann_GSMOTE,0.7309607178028231,0.032406444646666054,0.7493791023689208,0.030898352018309434,5
Balanced_LogReg,0.7299978115767589,0.011102239607593075,0.7358341091632231,0.010452202891530026,5
SMOTE_LogReg,0.7299266878214248,0.009466173283276286,0.7354339441108841,0.005681913354468978,5
Balanced_LinearSVM,0.722234380129117,0.014045414014232616,0.7296094179572441,0.014894785059810196,5
Balanced_RandomForest,0.7040075500601817,0.04494664981719764,0.7294517003588583,0.045280667461499495,5
