cohort,partition_seed,members,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,0,"4,8,16,32",Subspace_q8,0.85,0.024999999999999998,0.8484126984126984,0.025599083013779698
UCI-489,0,"4,8,16,32",Balanced_LogReg,0.8375,0.04238956239453292,0.833921568627451,0.04416293971348454
UCI-489,0,"4,8,16,32",SMOTE_LogReg,0.8375,0.04238956239453292,0.833921568627451,0.04416293971348454
UCI-489,0,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8375,0.04238956239453292,0.8334104302989752,0.04449380151130017
UCI-489,0,"4,8,16,32",Adaptive_Subspace_Fusion,0.825,0.049999999999999996,0.8230158730158731,0.05099399354015227
UCI-489,0,"4,8,16,32",Subspace_q32,0.825,0.036443449342783124,0.8209594499068184,0.038577746764233325
UCI-489,0,"4,8,16,32",Fused_Grassmann_GSMOTE,0.825,0.036443449342783124,0.8205626245099928,0.03844057341446906
UCI-489,0,"4,8,16,32",Subspace_q4,0.8125,0.06555055301063448,0.8115639589169001,0.0657606086345233
UCI-489,0,"4,8,16,32",Subspace_q16,0.8125,0.048412291827592706,0.8095463016515648,0.04944772437436912
UCI-489,0,"4,8,16,32",Balanced_LinearSVM,0.8,0.03061862178478973,0.7976975621557665,0.03045262037087398
UCI-489,0,"8,16,32",Adaptive_Subspace_Fusion,0.8125,0.048412291827592706,0.8095463016515648,0.04944772437436912
UCI-489,2,"4,8,16,32",Adaptive_Subspace_Fusion,0.875,0.03423265984407288,0.8747058823529411,0.034367115327256594
UCI-489,2,"4,8,16,32",Euclidean_RBF_GSMOTE,0.875,0.02795084971874737,0.8746078431372549,0.028060632161053856
UCI-489,2,"4,8,16,32",Subspace_q8,0.8625,0.023385358667337132,0.862156862745098,0.023503560144897483
UCI-489,2,"4,8,16,32",Subspace_q16,0.85,0.024999999999999998,0.8495098039215685,0.02512272835899642
UCI-489,2,"4,8,16,32",Subspace_q32,0.85,0.024999999999999998,0.8495098039215685,0.02512272835899642
UCI-489,2,"4,8,16,32",Fused_Grassmann_GSMOTE,0.85,0.024999999999999998,0.8491129785247432,0.02502501492524027
UCI-489,2,"4,8,16,32",Subspace_q4,0.8375,0.04238956239453292,0.8372549019607843,0.04235362199888519
UCI-489,2,"4,8,16,32",Balanced_LinearSVM,0.825,0.0637377439199098,0.8234126984126984,0.06459849442896708
UCI-489,2,"4,8,16,32",Balanced_LogReg,0.8125,0.052291251658379716,0.8119607843137254,0.05243805961433811
UCI-489,2,"4,8,16,32",SMOTE_LogReg,0.8125,0.052291251658379716,0.8119607843137254,0.05243805961433811
