cohort,partition_seed,variant,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
PD-252,0,with_gender,Adaptive_Subspace_Fusion,0.799209432104169,0.02238387762378168,0.80334214285197,0.024092039299676345
PD-252,0,with_gender,Balanced_LinearSVM,0.7541315607105081,0.020995384786312514,0.763044542914549,0.02585794537347505
PD-252,0,with_gender,Balanced_LogReg,0.7695872998504577,0.023540741718971508,0.7768439833528389,0.029256953507290837
PD-252,0,with_gender,Balanced_RandomForest,0.6508735456103877,0.01772007599698495,0.6712688674797221,0.020638741190521705
PD-252,0,with_gender,Euclidean_RBF_GSMOTE,0.766978516978517,0.01224896003818861,0.760161154265085,0.016379344955210547
PD-252,0,with_gender,Fused_Grassmann_GSMOTE,0.7544279096910675,0.01397921236671069,0.7559877257245678,0.015833064427320912
PD-252,0,with_gender,PLS_DA,0.7382116934748514,0.021444227981126725,0.7339418599418599,0.02358810853568355
PD-252,0,with_gender,SMOTE_LogReg,0.7695872998504577,0.022440125517249963,0.7767379139836116,0.028079852840605827
PD-252,0,without_gender,Adaptive_Subspace_Fusion,0.7888144217091586,0.019388295610574237,0.7929471324569597,0.021835159088387922
PD-252,0,without_gender,Balanced_LinearSVM,0.7594658423605792,0.019492532415501793,0.7709648052939192,0.023755370160869343
PD-252,0,without_gender,Balanced_LogReg,0.7645265711055185,0.021647309763707153,0.7744437169525726,0.027829627537956775
PD-252,0,without_gender,Balanced_RandomForest,0.64318123791808,0.012926568342219173,0.6630419994967567,0.015855580463701006
PD-252,0,without_gender,Euclidean_RBF_GSMOTE,0.7565123828281723,0.01803289379211046,0.7490202020202019,0.01987121135822866
PD-252,0,without_gender,Fused_Grassmann_GSMOTE,0.7441040230513916,0.01000990290274827,0.7456638390848916,0.01278739179202893
PD-252,0,without_gender,PLS_DA,0.745904001167159,0.020784817314557436,0.7400156913817754,0.02245623246704609
PD-252,0,without_gender,SMOTE_LogReg,0.7645265711055185,0.021647309763707153,0.7744437169525726,0.027829627537956775
PD-252,1,with_gender,Adaptive_Subspace_Fusion,0.7672411277674436,0.03635842218697993,0.7701125251971934,0.03529414569021698
PD-252,1,with_gender,Balanced_LinearSVM,0.7011480103585367,0.03845518205754323,0.7092583867248005,0.03652171329958377
PD-252,1,with_gender,Balanced_LogReg,0.7084956413903784,0.0423949122366525,0.7131191174669436,0.04152194415129538
PD-252,1,with_gender,Balanced_RandomForest,0.6275121275121276,0.026033454448186916,0.6415265127029832,0.03873990542521202
PD-252,1,with_gender,Euclidean_RBF_GSMOTE,0.7373308531203268,0.04327128922233196,0.7091554722385189,0.03469510499437958
PD-252,1,with_gender,Fused_Grassmann_GSMOTE,0.7382828172301857,0.04763585138178138,0.7274909774268845,0.042440153527927335
PD-252,1,with_gender,PLS_DA,0.7609922675712151,0.03648030963664566,0.7567104267850755,0.035607837616233845
PD-252,1,with_gender,SMOTE_LogReg,0.7008033336980706,0.04217616259893489,0.7056628056628057,0.040711580961367635
PD-252,1,without_gender,Adaptive_Subspace_Fusion,0.7590017142648723,0.030441226598934376,0.75208647630466,0.026723003502812308
PD-252,1,without_gender,Balanced_LinearSVM,0.7011480103585367,0.03845518205754323,0.7092583867248005,0.03652171329958377
PD-252,1,without_gender,Balanced_LogReg,0.6931110260057629,0.043343649994623125,0.6976328609240002,0.041352398701035104
PD-252,1,without_gender,Balanced_RandomForest,0.6148302148302148,0.024789817530681657,0.625858087421015,0.037057118755493744
PD-252,1,without_gender,Euclidean_RBF_GSMOTE,0.744880913301966,0.042637065814397634,0.7155313106059173,0.03338747583285013
PD-252,1,without_gender,Fused_Grassmann_GSMOTE,0.7460462486778277,0.053834237451464484,0.7297561445619147,0.04881586033224685
PD-252,1,without_gender,PLS_DA,0.7457498996972682,0.040915465866997,0.740634732498855,0.035500770193028115
PD-252,1,without_gender,SMOTE_LogReg,0.7008033336980706,0.04217616259893489,0.7056628056628057,0.040711580961367635
PD-252,2,with_gender,Adaptive_Subspace_Fusion,0.8117454499033446,0.03712294441261168,0.8099941409872917,0.031106490200739797
PD-252,2,with_gender,Balanced_LinearSVM,0.7718632600211548,0.0296536506134313,0.7769177991874787,0.024768834300805787
PD-252,2,with_gender,Balanced_LogReg,0.7913229018492176,0.021305350812231387,0.7856500688555483,0.01348251005654933
PD-252,2,with_gender,Balanced_RandomForest,0.6561367035051245,0.024046032279459003,0.6785775790754455,0.03135749453066773
PD-252,2,with_gender,Euclidean_RBF_GSMOTE,0.765827771090929,0.0323834496387475,0.7645899190109716,0.03231430837238172
PD-252,2,with_gender,Fused_Grassmann_GSMOTE,0.7687329029434293,0.02713381925140881,0.7741827387811526,0.027036778366395273
PD-252,2,with_gender,PLS_DA,0.7693028048291206,0.019650868647665867,0.77396784655899,0.016972827104071418
PD-252,2,with_gender,SMOTE_LogReg,0.788964875806981,0.019638565965348923,0.7884044260709479,0.0157848239575122
PD-252,2,without_gender,Adaptive_Subspace_Fusion,0.7668216799795747,0.03328939477793456,0.7634476750151069,0.031396646460403715
PD-252,2,without_gender,Balanced_LinearSVM,0.7768528650107598,0.031939999613207315,0.7796328918751114,0.028131908158129073
PD-252,2,without_gender,Balanced_LogReg,0.7863332968596126,0.022596227354943113,0.7833121693121694,0.014267552633337968
PD-252,2,without_gender,Balanced_RandomForest,0.6561367035051245,0.024746591352989004,0.6791508880862195,0.032519240619507284
PD-252,2,without_gender,Euclidean_RBF_GSMOTE,0.7741611044242623,0.025853651171797283,0.7715531899742427,0.026558365759820946
PD-252,2,without_gender,Fused_Grassmann_GSMOTE,0.7643843235948499,0.01908229581027812,0.7725540832310231,0.020482535691147618
PD-252,2,without_gender,PLS_DA,0.7828992960571908,0.016607324801105973,0.789266716262894,0.012420384559273748
PD-252,2,without_gender,SMOTE_LogReg,0.778640989167305,0.01885933127783154,0.7776968683107587,0.012708325567005003
PD-252,3,with_gender,Adaptive_Subspace_Fusion,0.7902469270890323,0.009058918483217998,0.7920492661911716,0.01618038980192713
PD-252,3,with_gender,Balanced_LinearSVM,0.7334017215596162,0.015430015972886625,0.7455079024214963,0.016321390207826626
PD-252,3,with_gender,Balanced_LogReg,0.7351898457161614,0.01733725698959339,0.7428915017610669,0.014474636904823307
PD-252,3,with_gender,Balanced_RandomForest,0.650660174344385,0.022554697492630515,0.6712386999005907,0.02938606734919768
PD-252,3,with_gender,Euclidean_RBF_GSMOTE,0.7493079111500165,0.03610012756678181,0.7488670237018584,0.036003148416748745
PD-252,3,with_gender,Fused_Grassmann_GSMOTE,0.7358910529963161,0.026714384388470253,0.749546637936798,0.028706467249675155
PD-252,3,with_gender,PLS_DA,0.7332220884852464,0.008612990832800073,0.7299578341683897,0.007343387795016961
PD-252,3,with_gender,SMOTE_LogReg,0.7250683882262828,0.013206375564941674,0.7377019952485004,0.012548189103256236
PD-252,3,without_gender,Adaptive_Subspace_Fusion,0.754285662180399,0.018550770187798778,0.7576275576275576,0.020752806746584068
PD-252,3,without_gender,Balanced_LinearSVM,0.7306990188569135,0.016344954053185878,0.7424366918220578,0.020253028384858002
PD-252,3,without_gender,Balanced_LogReg,0.7274975380238538,0.01363832459414596,0.7366054018960198,0.012383455429350591
PD-252,3,without_gender,Balanced_RandomForest,0.6480285953970164,0.013152125101128991,0.6705842790147372,0.01718683130803919
PD-252,3,without_gender,Euclidean_RBF_GSMOTE,0.7359138490717438,0.02723439571819227,0.7402296650717702,0.0301157152822717
PD-252,3,without_gender,Fused_Grassmann_GSMOTE,0.7227933398986031,0.029544410349063535,0.7342870499118347,0.03248338454635305
PD-252,3,without_gender,PLS_DA,0.7332220884852464,0.008612990832800073,0.7299578341683897,0.007343387795016961
PD-252,3,without_gender,SMOTE_LogReg,0.7248659590764854,0.014069351146107996,0.7323558539755857,0.01195609186314108
PD-252,4,with_gender,Adaptive_Subspace_Fusion,0.7751468067257541,0.013279426728253666,0.777761095935009,0.01318447509893875
PD-252,4,with_gender,Balanced_LinearSVM,0.7400964729912098,0.03438080796220776,0.7494455271577191,0.03329187468230818
PD-252,4,with_gender,Balanced_LogReg,0.7561932377721852,0.02050019524635293,0.7652573917310759,0.02092646181219469
PD-252,4,with_gender,Balanced_RandomForest,0.6599190283400811,0.04054777649507981,0.6686394892309308,0.06120479724662583
PD-252,4,with_gender,Euclidean_RBF_GSMOTE,0.7125852573220994,0.04084462849951522,0.7016084656084656,0.035153190539418185
PD-252,4,with_gender,Fused_Grassmann_GSMOTE,0.7148493635335741,0.042900295175231945,0.7101188625805789,0.03800597316199741
PD-252,4,with_gender,PLS_DA,0.7148156253419412,0.04108561140919439,0.7239448096217497,0.040384566541956504
PD-252,4,with_gender,SMOTE_LogReg,0.7588248167195535,0.02020841532746543,0.7691885132411448,0.02018578009869065
PD-252,4,without_gender,Adaptive_Subspace_Fusion,0.7656663748769013,0.03284478876691086,0.7712129158084029,0.031938579732948745
PD-252,4,without_gender,Balanced_LinearSVM,0.7537640879746144,0.0276527968110529,0.7655264926057731,0.02598831063448437
PD-252,4,without_gender,Balanced_LogReg,0.7534905350694825,0.021129773561941616,0.7610586918802021,0.021262595425465807
PD-252,4,without_gender,Balanced_RandomForest,0.6362010796221323,0.036047469764950525,0.6432409264003958,0.05673293747057604
PD-252,4,without_gender,Euclidean_RBF_GSMOTE,0.734016303753146,0.04849751008512005,0.7215727013884911,0.04204054427339791
PD-252,4,without_gender,Fused_Grassmann_GSMOTE,0.7258853995696101,0.041047534677079354,0.7199966133999773,0.03544916329490337
PD-252,4,without_gender,PLS_DA,0.7148156253419412,0.04108561140919439,0.7239448096217497,0.040384566541956504
PD-252,4,without_gender,SMOTE_LogReg,0.7665171244118613,0.020090406616200637,0.7762828681615868,0.021205588897637212
PD-252,5,with_gender,Adaptive_Subspace_Fusion,0.7803497829813619,0.01834050716078865,0.7821674455747194,0.025081236970296593
PD-252,5,with_gender,Balanced_LinearSVM,0.7526397855345224,0.037407930691335314,0.7579701363122415,0.03657746633998823
PD-252,5,with_gender,Balanced_LogReg,0.7650253492358755,0.028600002296068783,0.773394549046723,0.029666346986906064
PD-252,5,with_gender,Balanced_RandomForest,0.6518820439873071,0.016691801520575006,0.6703432578101077,0.018320748407484183
PD-252,5,with_gender,Euclidean_RBF_GSMOTE,0.7568570594886384,0.018948236777688313,0.755456731735378,0.022171475286531035
PD-252,5,with_gender,Fused_Grassmann_GSMOTE,0.7621913411387096,0.03217833738346579,0.7616481775692303,0.03176671628477893
PD-252,5,with_gender,PLS_DA,0.7495094284567968,0.027281620688755965,0.7522473816213302,0.027802589068357534
PD-252,5,with_gender,SMOTE_LogReg,0.7600357442462706,0.027770624913893583,0.7711424227945969,0.029328522706775842
PD-252,5,without_gender,Adaptive_Subspace_Fusion,0.7642530182003866,0.018398988587438093,0.7680955692420222,0.02342070186047882
PD-252,5,without_gender,Balanced_LinearSVM,0.7475790567895831,0.02995756474243877,0.7538878151246573,0.02659845427288936
PD-252,5,without_gender,Balanced_LogReg,0.7676569281832439,0.02599871886574784,0.7768930505452245,0.026196415633713263
PD-252,5,without_gender,Balanced_RandomForest,0.6394025604551918,0.025125647450039076,0.6547768665699211,0.03106361372478397
PD-252,5,without_gender,Euclidean_RBF_GSMOTE,0.7592862092862093,0.02257479530178369,0.7539574374914106,0.02491889486177076
PD-252,5,without_gender,Fused_Grassmann_GSMOTE,0.7648940438414122,0.03617172026024822,0.7668943639594569,0.03884719965422257
PD-252,5,without_gender,PLS_DA,0.7495094284567968,0.027281620688755965,0.7522473816213302,0.027802589068357534
PD-252,5,without_gender,SMOTE_LogReg,0.7599646204909363,0.02418709613983564,0.7703942160463901,0.024619883648326284
PD-252,6,with_gender,Adaptive_Subspace_Fusion,0.7851971404602984,0.033088609445951066,0.7843213323528987,0.036173538495904864
PD-252,6,with_gender,Balanced_LinearSVM,0.7384733924207609,0.023942041960786063,0.742293753714671,0.02226169060308456
PD-252,6,with_gender,Balanced_LogReg,0.7596910675858044,0.02452092604461701,0.7651407129816897,0.02482813641996777
PD-252,6,with_gender,Balanced_RandomForest,0.6154785352153773,0.02901264232754458,0.6226819129798828,0.0383799573977814
PD-252,6,with_gender,Euclidean_RBF_GSMOTE,0.7726693292482766,0.025487529726747376,0.7690193914829819,0.02625537334844778
PD-252,6,with_gender,Fused_Grassmann_GSMOTE,0.7706559798665061,0.04109397710119579,0.7778034561249663,0.044301233673077804
PD-252,6,with_gender,PLS_DA,0.7688076740708321,0.0418728485782394,0.7725141146903982,0.04257349784450811
PD-252,6,with_gender,SMOTE_LogReg,0.7519987598934967,0.027922775783774202,0.7576844011775519,0.027271632784132572
PD-252,6,without_gender,Adaptive_Subspace_Fusion,0.7775759565233249,0.033010498967827095,0.7774290489270153,0.034977664595104534
PD-252,6,without_gender,Balanced_LinearSVM,0.7494383047014626,0.026391857540044368,0.7535868084859867,0.02536757996767368
PD-252,6,without_gender,Balanced_LogReg,0.7596910675858044,0.02452092604461701,0.7651407129816897,0.02482813641996777
PD-252,6,without_gender,Balanced_RandomForest,0.6451717912244228,0.01846833966467814,0.666398936450505,0.02161394919302394
PD-252,6,without_gender,Euclidean_RBF_GSMOTE,0.7569400372031951,0.03190478140872162,0.751291683344315,0.03264733277175243
PD-252,6,without_gender,Fused_Grassmann_GSMOTE,0.7783482875588138,0.03347186282563631,0.7838331412772652,0.03655594961017936
PD-252,6,without_gender,PLS_DA,0.7789291315607105,0.039844335393827035,0.7769471639471639,0.04021009245820288
PD-252,6,without_gender,SMOTE_LogReg,0.7519987598934967,0.028743441014313892,0.7578777548794361,0.028383896702663017
PD-252,7,with_gender,Adaptive_Subspace_Fusion,0.7780036108983477,0.010218573805802836,0.7752135151558367,0.0056596178309209376
PD-252,7,with_gender,Balanced_LinearSVM,0.7302002407265565,0.020136456593947045,0.7422136897546914,0.024850356833363948
PD-252,7,with_gender,Balanced_LogReg,0.7699438304701463,0.013226607934829208,0.7751576499041309,0.014917989382699377
PD-252,7,with_gender,Balanced_RandomForest,0.6490854214538425,0.0189998263977034,0.6697499624489918,0.025573310856398135
PD-252,7,with_gender,Euclidean_RBF_GSMOTE,0.7674061713535397,0.02405735265217684,0.7579327990466893,0.021288379971512086
PD-252,7,with_gender,Fused_Grassmann_GSMOTE,0.7627503009081956,0.020487253701625446,0.7671452157613903,0.015899763941786625
PD-252,7,with_gender,PLS_DA,0.7490343582448846,0.01969805996336666,0.7448781451946085,0.02358561508193644
PD-252,7,with_gender,SMOTE_LogReg,0.7725754094175147,0.015172529237806582,0.7795562513027324,0.018125113179720917
PD-252,7,without_gender,Adaptive_Subspace_Fusion,0.7678821534084691,0.019841213679121766,0.7703823081116563,0.019562708664499894
PD-252,7,without_gender,Balanced_LinearSVM,0.7275686617791882,0.022528668687180342,0.7387819503229519,0.02796111911551445
PD-252,7,without_gender,Balanced_LogReg,0.7782771638034796,0.013400117987603374,0.7814706014225619,0.012321494779569613
PD-252,7,without_gender,Balanced_RandomForest,0.6553570777254987,0.030878397648712422,0.6730399501937873,0.03544258415641361
PD-252,7,without_gender,Euclidean_RBF_GSMOTE,0.7829932158879527,0.018287101937334023,0.7768452613415711,0.013029000282733495
PD-252,7,without_gender,Fused_Grassmann_GSMOTE,0.7499972644709488,0.020466836602084055,0.758687030221013,0.017447278169488066
PD-252,7,without_gender,PLS_DA,0.7490343582448846,0.01969805996336666,0.7448781451946085,0.02358561508193644
PD-252,7,without_gender,SMOTE_LogReg,0.7809087427508481,0.014961976333740083,0.7858692028211633,0.015617569448194746
