cohort,normalization,gate,partition_seed,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,standard,auto,0,Adaptive_Subspace_Fusion,0.8625,0.023385358667337132,0.862156862745098,0.023503560144897483
UCI-489,standard,auto,0,Fused_Grassmann_GSMOTE,0.8625,0.023385358667337132,0.862156862745098,0.023503560144897483
UCI-489,standard,auto,0,Euclidean_RBF_GSMOTE,0.8625,0.023385358667337132,0.862156862745098,0.023503560144897483
UCI-489,standard,auto,0,Balanced_LogReg,0.85,0.03186887195995491,0.8482166199813259,0.03234834776736438
UCI-489,standard,auto,0,SMOTE_LogReg,0.85,0.03186887195995491,0.8482166199813259,0.03234834776736438
UCI-489,standard,auto,0,PLS_DA,0.8375,0.0375,0.8366573295985059,0.037271131234735244
UCI-489,standard,auto,0,Balanced_RandomForest,0.8,0.036443449342783124,0.7992110177404295,0.036417784578470114
UCI-489,standard,auto,0,Balanced_LinearSVM,0.775,0.0318688719599549,0.7700840336134455,0.03262315496217814
UCI-489,standard,auto,1,Adaptive_Subspace_Fusion,0.875,0.048412291827592706,0.8746078431372549,0.04860224283362122
UCI-489,standard,auto,1,Fused_Grassmann_GSMOTE,0.875,0.048412291827592706,0.8746078431372549,0.04860224283362122
UCI-489,standard,auto,1,Euclidean_RBF_GSMOTE,0.8375,0.04238956239453292,0.8366619981325863,0.04251271028410349
UCI-489,standard,auto,1,Balanced_LogReg,0.825,0.045927932677184584,0.8239122315592905,0.04640904738208875
UCI-489,standard,auto,1,SMOTE_LogReg,0.825,0.045927932677184584,0.8239122315592905,0.04640904738208875
UCI-489,standard,auto,1,PLS_DA,0.8125,0.052291251658379716,0.8115639589169001,0.05243737900393788
UCI-489,standard,auto,1,Balanced_RandomForest,0.8125,0.02795084971874737,0.8107656395891691,0.027959006765799998
UCI-489,standard,auto,1,Balanced_LinearSVM,0.775,0.05796011559684814,0.7727217553688142,0.058878357097717285
UCI-489,rank,auto,2,Euclidean_RBF_GSMOTE,0.875,0.02795084971874737,0.8746078431372549,0.028060632161053856
UCI-489,rank,auto,2,Adaptive_Subspace_Fusion,0.85,0.024999999999999998,0.8491129785247432,0.02502501492524027
UCI-489,rank,auto,2,Fused_Grassmann_GSMOTE,0.85,0.024999999999999998,0.8491129785247432,0.02502501492524027
UCI-489,rank,auto,2,Balanced_RandomForest,0.8375,0.0318688719599549,0.8367600373482726,0.031773055175965646
UCI-489,rank,auto,2,Balanced_LinearSVM,0.825,0.0637377439199098,0.8234126984126984,0.06459849442896708
UCI-489,rank,auto,2,Balanced_LogReg,0.8125,0.052291251658379716,0.8119607843137254,0.05243805961433811
UCI-489,rank,auto,2,SMOTE_LogReg,0.8125,0.052291251658379716,0.8119607843137254,0.05243805961433811
UCI-489,rank,auto,2,PLS_DA,0.8,0.053764532919016415,0.7978197945845005,0.05487936157938222
UCI-489,rank,auto,1,Euclidean_RBF_GSMOTE,0.8875,0.04145780987944249,0.8866573295985061,0.04210345394556478
UCI-489,rank,auto,1,Adaptive_Subspace_Fusion,0.875,0.04419417382415922,0.8740102707749766,0.04479245916011863
UCI-489,rank,auto,1,Fused_Grassmann_GSMOTE,0.875,0.04419417382415922,0.8740102707749766,0.04479245916011863
UCI-489,rank,auto,1,Balanced_RandomForest,0.8375,0.0318688719599549,0.8367600373482726,0.031773055175965646
UCI-489,rank,auto,1,PLS_DA,0.825,0.045927932677184584,0.8239122315592905,0.0458672304409245
UCI-489,rank,auto,1,Balanced_LogReg,0.7875,0.050775240028974745,0.7861671335200746,0.0511305749107449
UCI-489,rank,auto,1,SMOTE_LogReg,0.7875,0.050775240028974745,0.7861671335200746,0.0511305749107449
UCI-489,rank,auto,1,Balanced_LinearSVM,0.7375,0.0723489806424389,0.7354715219421102,0.07362610748059897
UCI-489,rank,auto,0,PLS_DA,0.8625,0.012499999999999999,0.8615592903828198,0.012456549616279799
UCI-489,rank,auto,0,Balanced_LogReg,0.8375,0.04238956239453292,0.833921568627451,0.04416293971348454
UCI-489,rank,auto,0,SMOTE_LogReg,0.8375,0.04238956239453292,0.833921568627451,0.04416293971348454
UCI-489,rank,auto,0,Euclidean_RBF_GSMOTE,0.8375,0.04238956239453292,0.8334104302989752,0.04449380151130017
UCI-489,rank,auto,0,Adaptive_Subspace_Fusion,0.825,0.036443449342783124,0.8205626245099928,0.03844057341446906
UCI-489,rank,auto,0,Fused_Grassmann_GSMOTE,0.825,0.036443449342783124,0.8205626245099928,0.03844057341446906
UCI-489,rank,auto,0,Balanced_RandomForest,0.8125,0.03423265984407288,0.8115639589168999,0.0342768111939006
UCI-489,rank,auto,0,Balanced_LinearSVM,0.8,0.03061862178478973,0.7976975621557665,0.03045262037087398
UCI-489,standard,auto,2,Adaptive_Subspace_Fusion,0.8625,0.04145780987944249,0.8619561157796453,0.041474042848668825
UCI-489,standard,auto,2,Fused_Grassmann_GSMOTE,0.8625,0.04145780987944249,0.8619561157796453,0.041474042848668825
UCI-489,standard,auto,2,Euclidean_RBF_GSMOTE,0.8625,0.04145780987944249,0.8619561157796453,0.041474042848668825
UCI-489,standard,auto,2,Balanced_LogReg,0.8625,0.045927932677184584,0.8613632119514472,0.04647638015844813
UCI-489,standard,auto,2,SMOTE_LogReg,0.8625,0.045927932677184584,0.8613632119514472,0.04647638015844813
UCI-489,standard,auto,2,Balanced_RandomForest,0.85,0.024999999999999998,0.8491129785247432,0.02502501492524027
UCI-489,standard,auto,2,PLS_DA,0.825,0.023385358667337132,0.8247058823529411,0.02342532123025177
UCI-489,standard,auto,2,Balanced_LinearSVM,0.8,0.04145780987944249,0.7986181139122316,0.041804447270705244
UCI-489,standard,auto,3,Adaptive_Subspace_Fusion,0.85,0.024999999999999998,0.8488095238095237,0.025697317054597053
UCI-489,standard,auto,3,Fused_Grassmann_GSMOTE,0.85,0.024999999999999998,0.8488095238095237,0.025697317054597053
UCI-489,standard,auto,3,Balanced_LogReg,0.85,0.0318688719599549,0.8460737628384688,0.03447036441858426
UCI-489,standard,auto,3,SMOTE_LogReg,0.85,0.0318688719599549,0.8460737628384688,0.03447036441858426
UCI-489,standard,auto,3,Euclidean_RBF_GSMOTE,0.8375,0.024999999999999998,0.8361624649859944,0.025586792573351162
UCI-489,standard,auto,3,Balanced_RandomForest,0.8125,0.04419417382415922,0.811265172735761,0.0446171802054155
UCI-489,standard,auto,3,PLS_DA,0.8,0.036443449342783124,0.7980205415499533,0.03648801995654289
UCI-489,standard,auto,3,Balanced_LinearSVM,0.7625,0.06059599821770411,0.7573034206935135,0.06286470874271603
UCI-489,standard,auto,4,Euclidean_RBF_GSMOTE,0.85,0.046770717334674264,0.8488095238095237,0.04714713250882268
UCI-489,standard,auto,4,Adaptive_Subspace_Fusion,0.8375,0.0375,0.8362605042016806,0.03783759865273961
UCI-489,standard,auto,4,Fused_Grassmann_GSMOTE,0.8375,0.0375,0.8362605042016806,0.03783759865273961
UCI-489,standard,auto,4,PLS_DA,0.8125,0.02795084971874737,0.8103399524452156,0.02842545141340289
UCI-489,standard,auto,4,Balanced_RandomForest,0.8,0.036443449342783124,0.797594854406,0.036809823646451904
UCI-489,standard,auto,4,Balanced_LogReg,0.8,0.023385358667337132,0.7951820728291317,0.025346685277343534
UCI-489,standard,auto,4,SMOTE_LogReg,0.8,0.023385358667337132,0.7951820728291317,0.025346685277343534
UCI-489,standard,auto,4,Balanced_LinearSVM,0.775,0.0318688719599549,0.7692422799079146,0.034150816617517704
UCI-489,rank,auto,3,Euclidean_RBF_GSMOTE,0.875,0.02795084971874737,0.8733885051996507,0.0287610739189366
