cohort,partition_seed,weight,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,42,1.0,Adaptive_Subspace_Fusion,0.5625,0.052291251658379716,0.5295951107715814,0.0664381069866265
UCI-489,42,1.0,Fused_Grassmann_GSMOTE,0.5625,0.052291251658379716,0.5295951107715814,0.0664381069866265
UCI-489,0,0.5,Adaptive_Subspace_Fusion,0.825,0.036443449342783124,0.8205626245099928,0.03844057341446906
UCI-489,0,0.5,Fused_Grassmann_GSMOTE,0.825,0.036443449342783124,0.8205626245099928,0.03844057341446906
UCI-489,42,0.5,Adaptive_Subspace_Fusion,0.875,0.03952847075210474,0.8732904659839644,0.04018108330303391
UCI-489,42,0.5,Fused_Grassmann_GSMOTE,0.875,0.03952847075210474,0.8732904659839644,0.04018108330303391
UCI-489,42,0.0,Adaptive_Subspace_Fusion,0.8625,0.036443449342783124,0.8604426601949822,0.03699573277529141
UCI-489,42,0.0,Fused_Grassmann_GSMOTE,0.8625,0.036443449342783124,0.8604426601949822,0.03699573277529141
UCI-489,0,0.0,Adaptive_Subspace_Fusion,0.8375,0.04238956239453292,0.8334104302989752,0.04449380151130017
UCI-489,0,0.0,Fused_Grassmann_GSMOTE,0.8375,0.04238956239453292,0.8334104302989752,0.04449380151130017
UCI-489,0,1.0,Adaptive_Subspace_Fusion,0.55,0.06373774391990981,0.5236331058002884,0.07397759903207825
UCI-489,0,1.0,Fused_Grassmann_GSMOTE,0.55,0.06373774391990981,0.5236331058002884,0.07397759903207825
UCI-489,1,0.0,Adaptive_Subspace_Fusion,0.8875,0.04145780987944249,0.8866573295985061,0.04210345394556478
UCI-489,1,0.0,Fused_Grassmann_GSMOTE,0.8875,0.04145780987944249,0.8866573295985061,0.04210345394556478
UCI-489,1,0.5,Adaptive_Subspace_Fusion,0.875,0.04419417382415922,0.8740102707749766,0.04479245916011863
UCI-489,1,0.5,Fused_Grassmann_GSMOTE,0.875,0.04419417382415922,0.8740102707749766,0.04479245916011863
UCI-489,1,1.0,Adaptive_Subspace_Fusion,0.5375,0.10569709078304852,0.5122133095662507,0.1138020733201812
UCI-489,1,1.0,Fused_Grassmann_GSMOTE,0.5375,0.10569709078304852,0.5122133095662507,0.1138020733201812
UCI-489,2,0.0,Adaptive_Subspace_Fusion,0.875,0.02795084971874737,0.8746078431372549,0.028060632161053856
UCI-489,2,0.0,Fused_Grassmann_GSMOTE,0.875,0.02795084971874737,0.8746078431372549,0.028060632161053856
UCI-489,2,0.5,Adaptive_Subspace_Fusion,0.85,0.024999999999999998,0.8491129785247432,0.02502501492524027
UCI-489,2,0.5,Fused_Grassmann_GSMOTE,0.85,0.024999999999999998,0.8491129785247432,0.02502501492524027
UCI-489,3,1.0,Adaptive_Subspace_Fusion,0.5625,0.04419417382415922,0.5511459077558148,0.04946607193807856
UCI-489,3,1.0,Fused_Grassmann_GSMOTE,0.5625,0.04419417382415922,0.5511459077558148,0.04946607193807856
UCI-489,3,0.0,Adaptive_Subspace_Fusion,0.875,0.02795084971874737,0.8733885051996507,0.0287610739189366
UCI-489,3,0.0,Fused_Grassmann_GSMOTE,0.875,0.02795084971874737,0.8733885051996507,0.0287610739189366
UCI-489,2,1.0,Adaptive_Subspace_Fusion,0.55,0.012499999999999999,0.5208833271991166,0.025675377254324602
UCI-489,2,1.0,Fused_Grassmann_GSMOTE,0.55,0.012499999999999999,0.5208833271991166,0.025675377254324602
UCI-489,3,0.5,Adaptive_Subspace_Fusion,0.825,0.023385358667337132,0.8234865444153371,0.023624612027723854
UCI-489,3,0.5,Fused_Grassmann_GSMOTE,0.825,0.023385358667337132,0.8234865444153371,0.023624612027723854
UCI-489,4,0.0,Adaptive_Subspace_Fusion,0.8375,0.024999999999999998,0.8353399524452156,0.02507508787419188
UCI-489,4,0.0,Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8353399524452156,0.02507508787419188
UCI-489,4,1.0,Adaptive_Subspace_Fusion,0.55,0.041457809879442496,0.5215913611821541,0.04639294527942774
UCI-489,4,1.0,Fused_Grassmann_GSMOTE,0.55,0.041457809879442496,0.5215913611821541,0.04639294527942774
UCI-489,5,0.0,Adaptive_Subspace_Fusion,0.85,0.06123724356957944,0.8484126984126984,0.06229210826686283
UCI-489,5,0.0,Fused_Grassmann_GSMOTE,0.85,0.06123724356957944,0.8484126984126984,0.06229210826686283
UCI-489,5,0.5,Adaptive_Subspace_Fusion,0.8625,0.0637377439199098,0.8608636788048554,0.0648139849911141
UCI-489,5,0.5,Fused_Grassmann_GSMOTE,0.8625,0.0637377439199098,0.8608636788048554,0.0648139849911141
UCI-489,4,0.5,Adaptive_Subspace_Fusion,0.8125,0.02795084971874737,0.8111624649859944,0.028181816238784685
UCI-489,4,0.5,Fused_Grassmann_GSMOTE,0.8125,0.02795084971874737,0.8111624649859944,0.028181816238784685
UCI-489,5,1.0,Adaptive_Subspace_Fusion,0.5625,0.01976423537605237,0.5491930429391729,0.017310935136488563
UCI-489,5,1.0,Fused_Grassmann_GSMOTE,0.5625,0.01976423537605237,0.5491930429391729,0.017310935136488563
UCI-489,6,0.5,Adaptive_Subspace_Fusion,0.8625,0.036443449342783124,0.8610355640231802,0.036883764893222086
UCI-489,6,0.5,Fused_Grassmann_GSMOTE,0.8625,0.036443449342783124,0.8610355640231802,0.036883764893222086
UCI-489,6,0.0,Adaptive_Subspace_Fusion,0.8375,0.0318688719599549,0.8359375248074938,0.03215347133506413
UCI-489,6,0.0,Fused_Grassmann_GSMOTE,0.8375,0.0318688719599549,0.8359375248074938,0.03215347133506413
UCI-489,6,1.0,Adaptive_Subspace_Fusion,0.575,0.05376453291901641,0.5489961208382261,0.053441813832538564
UCI-489,6,1.0,Fused_Grassmann_GSMOTE,0.575,0.05376453291901641,0.5489961208382261,0.053441813832538564
UCI-489,7,0.0,Adaptive_Subspace_Fusion,0.85,0.0318688719599549,0.8486134453781512,0.032426741439545194
UCI-489,7,0.0,Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8486134453781512,0.032426741439545194
UCI-489,7,0.5,Adaptive_Subspace_Fusion,0.875,0.01976423537605237,0.8740102707749766,0.019846096518429196
UCI-489,7,0.5,Fused_Grassmann_GSMOTE,0.875,0.01976423537605237,0.8740102707749766,0.019846096518429196
UCI-489,7,1.0,Adaptive_Subspace_Fusion,0.55,0.06059599821770411,0.5282150597940072,0.06585067623383979
UCI-489,7,1.0,Fused_Grassmann_GSMOTE,0.55,0.06059599821770411,0.5282150597940072,0.06585067623383979
UCI-489,8,0.0,Adaptive_Subspace_Fusion,0.8625,0.03061862178478972,0.862450980392157,0.030588628076915047
UCI-489,8,0.0,Fused_Grassmann_GSMOTE,0.8625,0.03061862178478972,0.862450980392157,0.030588628076915047
UCI-489,8,1.0,Adaptive_Subspace_Fusion,0.625,0.07654655446197431,0.6125376979401748,0.08365873395501819
UCI-489,8,1.0,Fused_Grassmann_GSMOTE,0.625,0.07654655446197431,0.6125376979401748,0.08365873395501819
UCI-489,8,0.5,Adaptive_Subspace_Fusion,0.8375,0.024999999999999998,0.8361336032388664,0.025376110805696885
UCI-489,8,0.5,Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8361336032388664,0.025376110805696885
UCI-489,9,0.0,Adaptive_Subspace_Fusion,0.8375,0.0318688719599549,0.8359663865546219,0.03232004800501593
UCI-489,9,0.0,Fused_Grassmann_GSMOTE,0.8375,0.0318688719599549,0.8359663865546219,0.03232004800501593
UCI-489,9,1.0,Adaptive_Subspace_Fusion,0.6125,0.0723489806424389,0.5855118411000764,0.08161179987007362
UCI-489,9,1.0,Fused_Grassmann_GSMOTE,0.6125,0.0723489806424389,0.5855118411000764,0.08161179987007362
UCI-489,9,0.5,Adaptive_Subspace_Fusion,0.8625,0.041457809879442496,0.8607656395891692,0.04198291401988224
UCI-489,9,0.5,Fused_Grassmann_GSMOTE,0.8625,0.041457809879442496,0.8607656395891692,0.04198291401988224
UCI-489,10,0.0,Adaptive_Subspace_Fusion,0.8625,0.04592793267718459,0.862156862745098,0.045988230445243417
UCI-489,10,0.0,Fused_Grassmann_GSMOTE,0.8625,0.04592793267718459,0.862156862745098,0.045988230445243417
UCI-489,10,0.5,Adaptive_Subspace_Fusion,0.85,0.050775240028974745,0.8498039215686275,0.0507814746727056
UCI-489,10,0.5,Fused_Grassmann_GSMOTE,0.85,0.050775240028974745,0.8498039215686275,0.0507814746727056
UCI-489,10,1.0,Adaptive_Subspace_Fusion,0.575,0.023385358667337132,0.5573300229182582,0.030330751951974
UCI-489,10,1.0,Fused_Grassmann_GSMOTE,0.575,0.023385358667337132,0.5573300229182582,0.030330751951974
UCI-489,11,0.5,Adaptive_Subspace_Fusion,0.8625,0.03061862178478972,0.8579271708683475,0.03354066194148953
UCI-489,11,0.5,Fused_Grassmann_GSMOTE,0.8625,0.03061862178478972,0.8579271708683475,0.03354066194148953
UCI-489,11,0.0,Adaptive_Subspace_Fusion,0.8125,0.02795084971874737,0.8048926237161531,0.03128117947247834
UCI-489,11,0.0,Fused_Grassmann_GSMOTE,0.8125,0.02795084971874737,0.8048926237161531,0.03128117947247834
UCI-489,11,1.0,Adaptive_Subspace_Fusion,0.575,0.049999999999999996,0.5577272727272728,0.047043807612806424
UCI-489,11,1.0,Fused_Grassmann_GSMOTE,0.575,0.049999999999999996,0.5577272727272728,0.047043807612806424
UCI-489,12,0.0,Adaptive_Subspace_Fusion,0.8125,0.02795084971874737,0.8119561157796452,0.027730833465735353
UCI-489,12,0.0,Fused_Grassmann_GSMOTE,0.8125,0.02795084971874737,0.8119561157796452,0.027730833465735353
UCI-489,12,0.5,Adaptive_Subspace_Fusion,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,12,0.5,Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
