cohort,fold,method,ba,f1,note
UCI-489,1,paper fused w=0.5,0.875,0.873015873015873,
UCI-489,1,Euclidean RBF (mean+std),0.875,0.873015873015873,
UCI-489,1,order-stat RBF,0.875,0.873015873015873,
UCI-489,1,order-stat + Grassmann w=0.3,0.875,0.873015873015873,
UCI-489,1,order-stat + mean/std RBF (avg),0.875,0.873015873015873,
UCI-489,1,mean-embedding linear kernel,0.875,0.873015873015873,
UCI-489,1,MMD Gaussian kernel,0.875,0.873015873015873,
UCI-489,1,MMD + mean/std RBF (avg),0.875,0.873015873015873,
UCI-489,1,MMD + Grassmann + mean/std (1/3 each),0.875,0.873015873015873,
UCI-489,1,record-level RBF SVM -> mean,0.875,0.873015873015873,
UCI-489,1,stack: fused + record-level (avg),0.875,0.873015873015873,
UCI-489,1,HGB (mean+std),0.8125,0.805668016194332,
UCI-489,1,RF (mean+std),0.875,0.873015873015873,
UCI-489,1,ET (mean+std),0.8125,0.805668016194332,
UCI-489,1,HGB (order-stat),0.8125,0.805668016194332,
UCI-489,1,top-25 feats RBF,0.875,0.873015873015873,
UCI-489,2,paper fused w=0.5,0.8125,0.8117647058823529,
UCI-489,2,Euclidean RBF (mean+std),0.875,0.873015873015873,
UCI-489,2,order-stat RBF,0.875,0.873015873015873,
UCI-489,2,order-stat + Grassmann w=0.3,0.8125,0.8117647058823529,
UCI-489,2,order-stat + mean/std RBF (avg),0.875,0.873015873015873,
UCI-489,2,mean-embedding linear kernel,0.75,0.75,
UCI-489,2,MMD Gaussian kernel,0.75,0.75,
UCI-489,2,MMD + mean/std RBF (avg),0.8125,0.8117647058823529,
UCI-489,2,MMD + Grassmann + mean/std (1/3 each),0.8125,0.8117647058823529,
UCI-489,2,record-level RBF SVM -> mean,0.8125,0.805668016194332,
UCI-489,2,stack: fused + record-level (avg),0.875,0.873015873015873,
UCI-489,2,HGB (mean+std),0.75,0.746031746031746,
UCI-489,2,RF (mean+std),0.8125,0.8117647058823529,
UCI-489,2,ET (mean+std),0.75,0.75,
UCI-489,2,HGB (order-stat),0.75,0.746031746031746,
UCI-489,2,top-25 feats RBF,0.8125,0.8117647058823529,
UCI-489,3,paper fused w=0.5,1.0,1.0,
UCI-489,3,Euclidean RBF (mean+std),1.0,1.0,
UCI-489,3,order-stat RBF,1.0,1.0,
UCI-489,3,order-stat + Grassmann w=0.3,1.0,1.0,
UCI-489,3,order-stat + mean/std RBF (avg),1.0,1.0,
UCI-489,3,mean-embedding linear kernel,1.0,1.0,
UCI-489,3,MMD Gaussian kernel,1.0,1.0,
UCI-489,3,MMD + mean/std RBF (avg),1.0,1.0,
UCI-489,3,MMD + Grassmann + mean/std (1/3 each),1.0,1.0,
UCI-489,3,record-level RBF SVM -> mean,1.0,1.0,
UCI-489,3,stack: fused + record-level (avg),1.0,1.0,
UCI-489,3,HGB (mean+std),0.9375,0.9372549019607843,
UCI-489,3,RF (mean+std),0.9375,0.9372549019607843,
UCI-489,3,ET (mean+std),0.9375,0.9372549019607843,
UCI-489,3,HGB (order-stat),0.875,0.875,
UCI-489,3,top-25 feats RBF,0.9375,0.9372549019607843,
UCI-489,4,paper fused w=0.5,0.8125,0.805668016194332,
UCI-489,4,Euclidean RBF (mean+std),0.8125,0.805668016194332,
UCI-489,4,order-stat RBF,0.8125,0.805668016194332,
UCI-489,4,order-stat + Grassmann w=0.3,0.8125,0.805668016194332,
UCI-489,4,order-stat + mean/std RBF (avg),0.8125,0.805668016194332,
UCI-489,4,mean-embedding linear kernel,0.8125,0.805668016194332,
UCI-489,4,MMD Gaussian kernel,0.8125,0.805668016194332,
UCI-489,4,MMD + mean/std RBF (avg),0.8125,0.805668016194332,
UCI-489,4,MMD + Grassmann + mean/std (1/3 each),0.8125,0.805668016194332,
UCI-489,4,record-level RBF SVM -> mean,0.875,0.873015873015873,
UCI-489,4,stack: fused + record-level (avg),0.8125,0.805668016194332,
UCI-489,4,HGB (mean+std),0.625,0.6190476190476191,
UCI-489,4,RF (mean+std),0.6875,0.6862745098039216,
UCI-489,4,ET (mean+std),0.6875,0.6862745098039216,
UCI-489,4,HGB (order-stat),0.625,0.6190476190476191,
UCI-489,4,top-25 feats RBF,0.6875,0.6862745098039216,
UCI-489,5,paper fused w=0.5,0.75,0.746031746031746,
UCI-489,5,Euclidean RBF (mean+std),0.75,0.746031746031746,
UCI-489,5,order-stat RBF,0.75,0.746031746031746,
UCI-489,5,order-stat + Grassmann w=0.3,0.75,0.746031746031746,
UCI-489,5,order-stat + mean/std RBF (avg),0.75,0.746031746031746,
UCI-489,5,mean-embedding linear kernel,0.75,0.746031746031746,
UCI-489,5,MMD Gaussian kernel,0.75,0.746031746031746,
UCI-489,5,MMD + mean/std RBF (avg),0.75,0.746031746031746,
UCI-489,5,MMD + Grassmann + mean/std (1/3 each),0.75,0.746031746031746,
UCI-489,5,record-level RBF SVM -> mean,0.8125,0.8117647058823529,
UCI-489,5,stack: fused + record-level (avg),0.75,0.746031746031746,
UCI-489,5,HGB (mean+std),0.5625,0.5607843137254902,
UCI-489,5,RF (mean+std),0.8125,0.8117647058823529,
UCI-489,5,ET (mean+std),0.75,0.746031746031746,
UCI-489,5,HGB (order-stat),0.6875,0.6761133603238867,
UCI-489,5,top-25 feats RBF,0.875,0.875,
PD-252,1,paper fused w=0.5,0.6912955465587045,0.7102272727272727,
PD-252,1,Euclidean RBF (mean+std),0.7419028340080972,0.7419028340080972,
PD-252,1,order-stat RBF,0.7550607287449393,0.7615584415584415,
PD-252,1,order-stat + Grassmann w=0.3,0.6781376518218624,0.6912493120528342,
PD-252,1,order-stat + mean/std RBF (avg),0.7550607287449393,0.7615584415584415,
PD-252,1,mean-embedding linear kernel,0.6771255060728745,0.6725925925925926,
PD-252,1,MMD Gaussian kernel,0.6781376518218624,0.6912493120528342,
PD-252,1,MMD + mean/std RBF (avg),0.6781376518218624,0.6912493120528342,
PD-252,1,MMD + Grassmann + mean/std (1/3 each),0.6912955465587045,0.7102272727272727,
PD-252,1,family MKL (ALIGNF),0.6497975708502024,0.6192358366271411,
PD-252,1,family MKL + Grassmann w=0.3,0.715587044534413,0.7046332046332047,
PD-252,1,family uniform MKL,0.611336032388664,0.5901785714285714,
PD-252,1,__beta__,,,"{'Demographics': 0.0, 'IMF/EMD': 0.066, 'MFCC': 0.569, 'TQWT': 0.175, 'Vocal/time-frequency': 0.097, 'Wavelet': 0.092}"
PD-252,1,record-level RBF SVM -> mean,0.715587044534413,0.7046332046332047,
PD-252,1,stack: fused + record-level (avg),0.6649797570850202,0.673076923076923,
