cohort,prep,fold,method,ba,f1
UCI-489,standard,1,RBF (mean+std),0.875,0.873015873015873
UCI-489,standard,1,paper fused w=0.5,0.875,0.873015873015873
UCI-489,standard,1,record-level -> mean,0.875,0.873015873015873
UCI-489,standard,1,A1 families,0.875,0.873015873015873
UCI-489,standard,1,A2 families+G,0.875,0.873015873015873
UCI-489,standard,1,A3 families+G+MMD,0.875,0.873015873015873
UCI-489,standard,1,A4 families+G+MMD+E,0.875,0.873015873015873
UCI-489,standard,1,A3 + record stack,0.875,0.873015873015873
UCI-489,standard,1,A2 + record stack,0.875,0.873015873015873
UCI-489,standard,1,A3 families+G+MMD [bag8],0.875,0.873015873015873
UCI-489,standard,1,A3 + record stack [bag8],0.875,0.873015873015873
UCI-489,standard,1,paper fused w=0.5 [bag8],0.875,0.873015873015873
UCI-489,standard,1,RBF (mean+std) [BA-thr],0.875,0.873015873015873
UCI-489,standard,1,A3 families+G+MMD [BA-thr],0.875,0.873015873015873
UCI-489,standard,1,A3 + record stack [BA-thr],0.875,0.873015873015873
UCI-489,standard,2,RBF (mean+std),0.875,0.873015873015873
UCI-489,standard,2,paper fused w=0.5,0.8125,0.8117647058823529
UCI-489,standard,2,record-level -> mean,0.8125,0.805668016194332
UCI-489,standard,2,A1 families,0.75,0.746031746031746
UCI-489,standard,2,A2 families+G,0.75,0.746031746031746
UCI-489,standard,2,A3 families+G+MMD,0.75,0.746031746031746
UCI-489,standard,2,A4 families+G+MMD+E,0.8125,0.8117647058823529
UCI-489,standard,2,A3 + record stack,0.75,0.746031746031746
UCI-489,standard,2,A2 + record stack,0.75,0.746031746031746
UCI-489,standard,2,A3 families+G+MMD [bag8],0.75,0.746031746031746
UCI-489,standard,2,A3 + record stack [bag8],0.75,0.746031746031746
UCI-489,standard,2,paper fused w=0.5 [bag8],0.8125,0.8117647058823529
UCI-489,standard,2,RBF (mean+std) [BA-thr],0.8125,0.805668016194332
UCI-489,standard,2,A3 families+G+MMD [BA-thr],0.8125,0.8117647058823529
UCI-489,standard,2,A3 + record stack [BA-thr],0.75,0.746031746031746
UCI-489,standard,3,RBF (mean+std),1.0,1.0
UCI-489,standard,3,paper fused w=0.5,1.0,1.0
UCI-489,standard,3,record-level -> mean,1.0,1.0
UCI-489,standard,3,A1 families,1.0,1.0
UCI-489,standard,3,A2 families+G,1.0,1.0
UCI-489,standard,3,A3 families+G+MMD,1.0,1.0
UCI-489,standard,3,A4 families+G+MMD+E,1.0,1.0
UCI-489,standard,3,A3 + record stack,1.0,1.0
UCI-489,standard,3,A2 + record stack,1.0,1.0
UCI-489,standard,3,A3 families+G+MMD [bag8],1.0,1.0
UCI-489,standard,3,A3 + record stack [bag8],1.0,1.0
UCI-489,standard,3,paper fused w=0.5 [bag8],1.0,1.0
UCI-489,standard,3,RBF (mean+std) [BA-thr],0.9375,0.9372549019607843
UCI-489,standard,3,A3 families+G+MMD [BA-thr],0.9375,0.9372549019607843
UCI-489,standard,3,A3 + record stack [BA-thr],0.9375,0.9372549019607843
UCI-489,standard,4,RBF (mean+std),0.8125,0.805668016194332
UCI-489,standard,4,paper fused w=0.5,0.8125,0.805668016194332
UCI-489,standard,4,record-level -> mean,0.875,0.873015873015873
UCI-489,standard,4,A1 families,0.625,0.6190476190476191
UCI-489,standard,4,A2 families+G,0.625,0.6190476190476191
UCI-489,standard,4,A3 families+G+MMD,0.625,0.6190476190476191
UCI-489,standard,4,A4 families+G+MMD+E,0.625,0.6190476190476191
UCI-489,standard,4,A3 + record stack,0.75,0.746031746031746
UCI-489,standard,4,A2 + record stack,0.75,0.746031746031746
UCI-489,standard,4,A3 families+G+MMD [bag8],0.625,0.6190476190476191
UCI-489,standard,4,A3 + record stack [bag8],0.75,0.746031746031746
UCI-489,standard,4,paper fused w=0.5 [bag8],0.8125,0.805668016194332
UCI-489,standard,4,RBF (mean+std) [BA-thr],0.8125,0.805668016194332
UCI-489,standard,4,A3 families+G+MMD [BA-thr],0.75,0.75
UCI-489,standard,4,A3 + record stack [BA-thr],0.75,0.746031746031746
UCI-489,standard,5,RBF (mean+std),0.75,0.746031746031746
UCI-489,standard,5,paper fused w=0.5,0.75,0.746031746031746
UCI-489,standard,5,record-level -> mean,0.8125,0.8117647058823529
UCI-489,standard,5,A1 families,0.875,0.875
UCI-489,standard,5,A2 families+G,0.875,0.875
UCI-489,standard,5,A3 families+G+MMD,0.8125,0.8117647058823529
UCI-489,standard,5,A4 families+G+MMD+E,0.8125,0.8117647058823529
UCI-489,standard,5,A3 + record stack,0.8125,0.8117647058823529
UCI-489,standard,5,A2 + record stack,0.8125,0.8117647058823529
UCI-489,standard,5,A3 families+G+MMD [bag8],0.8125,0.8117647058823529
UCI-489,standard,5,A3 + record stack [bag8],0.8125,0.8117647058823529
UCI-489,standard,5,paper fused w=0.5 [bag8],0.75,0.746031746031746
UCI-489,standard,5,RBF (mean+std) [BA-thr],0.8125,0.8117647058823529
UCI-489,standard,5,A3 families+G+MMD [BA-thr],0.8125,0.8117647058823529
UCI-489,standard,5,A3 + record stack [BA-thr],0.875,0.875
UCI-489,quantile,1,RBF (mean+std),0.8125,0.805668016194332
UCI-489,quantile,1,paper fused w=0.5,0.8125,0.805668016194332
UCI-489,quantile,1,record-level -> mean,0.8125,0.805668016194332
UCI-489,quantile,1,A1 families,0.875,0.873015873015873
UCI-489,quantile,1,A2 families+G,0.875,0.873015873015873
UCI-489,quantile,1,A3 families+G+MMD,0.875,0.873015873015873
UCI-489,quantile,1,A4 families+G+MMD+E,0.875,0.873015873015873
UCI-489,quantile,1,A3 + record stack,0.875,0.873015873015873
UCI-489,quantile,1,A2 + record stack,0.875,0.873015873015873
UCI-489,quantile,1,A3 families+G+MMD [bag8],0.875,0.873015873015873
UCI-489,quantile,1,A3 + record stack [bag8],0.875,0.873015873015873
UCI-489,quantile,1,paper fused w=0.5 [bag8],0.8125,0.805668016194332
UCI-489,quantile,1,RBF (mean+std) [BA-thr],0.8125,0.8117647058823529
UCI-489,quantile,1,A3 families+G+MMD [BA-thr],0.875,0.873015873015873
UCI-489,quantile,1,A3 + record stack [BA-thr],0.875,0.873015873015873
UCI-489,quantile,2,RBF (mean+std),0.8125,0.8117647058823529
UCI-489,quantile,2,paper fused w=0.5,0.8125,0.8117647058823529
UCI-489,quantile,2,record-level -> mean,0.8125,0.805668016194332
UCI-489,quantile,2,A1 families,0.75,0.746031746031746
UCI-489,quantile,2,A2 families+G,0.75,0.746031746031746
UCI-489,quantile,2,A3 families+G+MMD,0.75,0.746031746031746
UCI-489,quantile,2,A4 families+G+MMD+E,0.75,0.746031746031746
UCI-489,quantile,2,A3 + record stack,0.75,0.746031746031746
UCI-489,quantile,2,A2 + record stack,0.75,0.746031746031746
UCI-489,quantile,2,A3 families+G+MMD [bag8],0.75,0.746031746031746
UCI-489,quantile,2,A3 + record stack [bag8],0.75,0.746031746031746
UCI-489,quantile,2,paper fused w=0.5 [bag8],0.8125,0.8117647058823529
UCI-489,quantile,2,RBF (mean+std) [BA-thr],0.8125,0.8117647058823529
