cohort,fold,method,ba,f1
UCI-489,1,RBF no-aug,0.875,0.873015873015873
UCI-489,1,A3 no-aug floor=0.00,0.875,0.873015873015873
UCI-489,1,A3 no-aug floor=0.25,0.875,0.873015873015873
UCI-489,1,A3 no-aug floor=0.50,0.875,0.873015873015873
UCI-489,1,perm kernel no-aug,0.875,0.873015873015873
UCI-489,1,A3+perm no-aug,0.875,0.873015873015873
UCI-489,1,rel-weighted RBF rho=1 eta=0,0.875,0.873015873015873
UCI-489,1,rel-weighted RBF rho=0 eta=1,0.875,0.873015873015873
UCI-489,1,rel-weighted RBF rho=1 eta=1,0.875,0.873015873015873
UCI-489,1,rel-weighted RBF rho=0.5 eta=0.5,0.875,0.873015873015873
UCI-489,1,PLS4 + LDA,0.8125,0.805668016194332
UCI-489,1,PLS8 + LDA,0.75,0.746031746031746
UCI-489,1,PLS16 + LDA,0.8125,0.805668016194332
UCI-489,1,RBF no-aug [BA-thr],0.875,0.873015873015873
UCI-489,1,A3 no-aug floor=0.25 [BA-thr],0.875,0.873015873015873
UCI-489,2,RBF no-aug,0.875,0.873015873015873
UCI-489,2,A3 no-aug floor=0.00,0.75,0.746031746031746
UCI-489,2,A3 no-aug floor=0.25,0.75,0.746031746031746
UCI-489,2,A3 no-aug floor=0.50,0.75,0.746031746031746
UCI-489,2,perm kernel no-aug,0.75,0.75
UCI-489,2,A3+perm no-aug,0.75,0.746031746031746
UCI-489,2,rel-weighted RBF rho=1 eta=0,0.8125,0.8117647058823529
UCI-489,2,rel-weighted RBF rho=0 eta=1,0.8125,0.8117647058823529
UCI-489,2,rel-weighted RBF rho=1 eta=1,0.8125,0.8117647058823529
UCI-489,2,rel-weighted RBF rho=0.5 eta=0.5,0.8125,0.8117647058823529
UCI-489,2,PLS4 + LDA,0.875,0.873015873015873
UCI-489,2,PLS8 + LDA,0.8125,0.8117647058823529
UCI-489,2,PLS16 + LDA,0.75,0.75
UCI-489,2,RBF no-aug [BA-thr],0.8125,0.805668016194332
UCI-489,2,A3 no-aug floor=0.25 [BA-thr],0.75,0.746031746031746
UCI-489,3,RBF no-aug,1.0,1.0
UCI-489,3,A3 no-aug floor=0.00,1.0,1.0
UCI-489,3,A3 no-aug floor=0.25,1.0,1.0
UCI-489,3,A3 no-aug floor=0.50,1.0,1.0
UCI-489,3,perm kernel no-aug,1.0,1.0
UCI-489,3,A3+perm no-aug,1.0,1.0
UCI-489,3,rel-weighted RBF rho=1 eta=0,1.0,1.0
UCI-489,3,rel-weighted RBF rho=0 eta=1,1.0,1.0
UCI-489,3,rel-weighted RBF rho=1 eta=1,1.0,1.0
UCI-489,3,rel-weighted RBF rho=0.5 eta=0.5,1.0,1.0
UCI-489,3,PLS4 + LDA,0.9375,0.9372549019607843
UCI-489,3,PLS8 + LDA,0.5625,0.5607843137254902
UCI-489,3,PLS16 + LDA,0.625,0.6190476190476191
UCI-489,3,RBF no-aug [BA-thr],0.9375,0.9372549019607843
UCI-489,3,A3 no-aug floor=0.25 [BA-thr],0.9375,0.9372549019607843
UCI-489,4,RBF no-aug,0.8125,0.805668016194332
UCI-489,4,A3 no-aug floor=0.00,0.625,0.6190476190476191
UCI-489,4,A3 no-aug floor=0.25,0.75,0.75
UCI-489,4,A3 no-aug floor=0.50,0.75,0.75
UCI-489,4,perm kernel no-aug,0.8125,0.805668016194332
UCI-489,4,A3+perm no-aug,0.625,0.6190476190476191
UCI-489,4,rel-weighted RBF rho=1 eta=0,0.8125,0.805668016194332
UCI-489,4,rel-weighted RBF rho=0 eta=1,0.8125,0.805668016194332
UCI-489,4,rel-weighted RBF rho=1 eta=1,0.8125,0.805668016194332
UCI-489,4,rel-weighted RBF rho=0.5 eta=0.5,0.8125,0.805668016194332
UCI-489,4,PLS4 + LDA,0.9375,0.9372549019607843
UCI-489,4,PLS8 + LDA,0.875,0.873015873015873
UCI-489,4,PLS16 + LDA,0.875,0.875
UCI-489,4,RBF no-aug [BA-thr],0.75,0.7333333333333334
UCI-489,4,A3 no-aug floor=0.25 [BA-thr],0.75,0.75
UCI-489,5,RBF no-aug,0.75,0.746031746031746
UCI-489,5,A3 no-aug floor=0.00,0.8125,0.8117647058823529
UCI-489,5,A3 no-aug floor=0.25,0.8125,0.8117647058823529
UCI-489,5,A3 no-aug floor=0.50,0.8125,0.8117647058823529
