seed_tag,seed_formula,fused_balanced_accuracy,fused_macro_f1,ablation_balanced_accuracy,ablation_macro_f1,delta_balanced_accuracy,delta_macro_f1
s00,(1000+0)*1000+fold,0.7466,0.7564,0.741,0.7363,0.0056,0.0201
s01,(1000+1)*1000+fold,0.741,0.7545,0.7497,0.745,-0.0087,0.0095
s02,(1000+2)*1000+fold,0.7436,0.7586,0.7567,0.7533,-0.0131,0.0053
s03,(1000+3)*1000+fold,0.7305,0.7417,0.7363,0.736,-0.0058,0.0057
s04,(1000+4)*1000+fold,0.7572,0.7731,0.736,0.7311,0.0212,0.042
s05,(1000+5)*1000+fold,0.7279,0.7369,0.7174,0.7174,0.0105,0.0195
s06,(1000+6)*1000+fold,0.7278,0.7366,0.715,0.7098,0.0128,0.0268
s07,(1000+7)*1000+fold,0.7486,0.7608,0.7071,0.7001,0.0415,0.0607
s08,(1000+8)*1000+fold,0.7465,0.7563,0.7198,0.7186,0.0267,0.0377
s09,(1000+9)*1000+fold,0.7229,0.7334,0.7105,0.7117,0.0124,0.0217
s10,(1000+10)*1000+fold,0.7409,0.7531,0.741,0.7352,-0.0001,0.0179
s11,(1000+11)*1000+fold,0.7333,0.7482,0.7363,0.7354,-0.003,0.0128
s12,(1000+12)*1000+fold,0.7225,0.7374,0.7331,0.7386,-0.0106,-0.0012
s13,(1000+13)*1000+fold,0.7278,0.7383,0.7249,0.7261,0.0029,0.0122
s14,(1000+14)*1000+fold,0.7599,0.7773,0.7387,0.7353,0.0212,0.042
s15,(1000+15)*1000+fold,0.7486,0.7612,0.7276,0.726,0.021,0.0352
s16,(1000+16)*1000+fold,0.7415,0.7535,0.7439,0.7431,-0.0024,0.0104
s17,(1000+17)*1000+fold,0.7362,0.7463,0.7332,0.7297,0.003,0.0166
s18,(1000+18)*1000+fold,0.7216,0.7318,0.7147,0.7145,0.0069,0.0173
s19,(1000+19)*1000+fold,0.7526,0.7648,0.744,0.7426,0.0086,0.0222
s20,(1000+20)*1000+fold,0.7382,0.749,0.7206,0.716,0.0176,0.033
s21,(1000+21)*1000+fold,0.7595,0.7722,0.7334,0.7326,0.0261,0.0396
s22,(1000+22)*1000+fold,0.7332,0.7473,0.7356,0.7353,-0.0024,0.012
s23,(1000+23)*1000+fold,0.7393,0.7581,0.7261,0.7293,0.0132,0.0288
