tag,chosen,early_adaptive_ba,early_adaptive_f1,late_adaptive_ba,late_adaptive_f1,w0_ba,w0_f1,w05_ba,w05_f1
UCI-489|partition|0,"[(0.3, 0.3), (0.7, 0.1), (0.8, 0.0), (0.5, 0.0), (0.0, 0.0)]",0.8625,0.8617600373482727,0.8625,0.862156862745098,0.8625,0.862156862745098,0.8625,0.862156862745098
UCI-489|partition|1,"[(0.7, 0.0), (0.4, 0.4), (0.8, 0.2), (0.7, 0.0), (0.3, 0.1)]",0.8625,0.862156862745098,0.85,0.8495098039215687,0.8375,0.8366619981325863,0.875,0.8746078431372549
UCI-489|partition|2,"[(0.6, 0.3), (0.8, 0.3), (0.2, 0.0), (0.8, 0.5), (0.5, 0.1)]",0.8625,0.8619561157796453,0.8625,0.8622549019607844,0.8625,0.8619561157796453,0.8625,0.8619561157796453
UCI-489|partition|3,"[(0.6, 0.1), (0.8, 0.3), (0.5, 0.2), (0.4, 0.3), (0.5, 0.0)]",0.8375,0.8361624649859944,0.825,0.8231185807656395,0.8375,0.8361624649859944,0.85,0.8488095238095237
UCI-489|partition|4,"[(0.4, 0.0), (0.2, 0.0), (0.6, 0.4), (0.8, 0.3), (0.8, 0.5)]",0.825,0.8227909328373725,0.8,0.7992110177404295,0.85,0.8488095238095237,0.8375,0.8362605042016806
UCI-489|partition|5,"[(0.3, 0.0), (0.5, 0.4), (0.4, 0.1), (0.1, 0.2), (0.0, 0.0)]",0.85,0.8483146591970121,0.8625,0.8611624649859945,0.8625,0.8612605042016807,0.85,0.8483146591970121
UCI-489|partition|6,"[(0.0, 0.0), (0.8, 0.4), (0.0, 0.2), (0.0, 0.0), (0.3, 0.0)]",0.825,0.82025125029769,0.8125,0.8043205143669541,0.825,0.82025125029769,0.825,0.82025125029769
UCI-489|partition|7,"[(0.0, 0.0), (0.0, 0.0), (0.7, 0.2), (0.8, 0.4), (0.6, 0.2)]",0.875,0.8739122315592903,0.8875,0.8865592903828198,0.85,0.8490102707749767,0.875,0.8739122315592903
UCI-489|partition|8,"[(0.4, 0.0), (0.8, 0.4), (0.8, 0.3), (0.7, 0.5), (0.4, 0.1)]",0.8625,0.8620541549953316,0.85,0.848187758234198,0.85,0.849407096171802,0.8625,0.8620541549953316
UCI-489|partition|9,"[(0.8, 0.3), (0.4, 0.1), (0.4, 0.0), (0.0, 0.0), (0.4, 0.0)]",0.85,0.8482166199813259,0.8375,0.8347470486170178,0.8375,0.8347470486170178,0.85,0.8478936405871391
UCI-489|partition|10,"[(0.6, 0.0), (0.0, 0.0), (0.7, 0.3), (0.5, 0.2), (0.7, 0.2)]",0.85,0.8490102707749767,0.875,0.8745098039215685,0.8625,0.8613632119514472,0.85,0.8490102707749767
UCI-489|partition|11,"[(0.2, 0.0), (0.5, 0.2), (0.8, 0.2), (0.5, 0.4), (0.7, 0.4)]",0.8375,0.8316097937150569,0.825,0.819359560288353,0.825,0.819359560288353,0.8375,0.8316097937150569
UCI-489|partition|12,"[(0.0, 0.0), (0.4, 0.3), (0.7, 0.0), (0.0, 0.0), (0.0, 0.0)]",0.85,0.8494070961718021,0.8375,0.8367600373482726,0.8375,0.8367600373482726,0.8375,0.8369561157796452
UCI-489|partition|13,"[(0.0, 0.0), (0.6, 0.1), (0.4, 0.0), (0.8, 0.4), (0.4, 0.4)]",0.85,0.8477909328373725,0.85,0.8458730158730159,0.85,0.8477909328373725,0.85,0.8477909328373725
UCI-489|partition|14,"[(0.6, 0.0), (0.7, 0.4), (0.3, 0.0), (0.0, 0.0), (0.4, 0.0)]",0.8625,0.8620541549953314,0.85,0.8493090569561158,0.8625,0.8620541549953314,0.85,0.8496031746031747
UCI-489|partition|15,"[(0.1, 0.1), (0.4, 0.3), (0.5, 0.4), (0.7, 0.1), (0.0, 0.0)]",0.85,0.8482904659839644,0.8375,0.8363632119514472,0.85,0.8482904659839644,0.8625,0.8609375248074939
UCI-489|partition|16,"[(0.3, 0.0), (0.6, 0.2), (0.0, 0.0), (0.0, 0.0), (0.8, 0.1)]",0.8625,0.8620541549953314,0.8625,0.8620541549953314,0.8625,0.8620541549953314,0.8625,0.8620541549953314
UCI-489|partition|17,"[(0.7, 0.1), (0.0, 0.0), (0.4, 0.1), (0.0, 0.0), (0.6, 0.1)]",0.825,0.8240102707749767,0.825,0.8240102707749767,0.825,0.8232166199813259,0.8375,0.837156862745098
UCI-489|partition|18,"[(0.5, 0.1), (0.4, 0.0), (0.8, 0.4), (0.0, 0.2), (0.0, 0.1)]",0.875,0.8742110177404296,0.85,0.8475948544059999,0.85,0.8482166199813259,0.85,0.8491129785247432
UCI-489|partition|19,"[(0.0, 0.0), (0.7, 0.2), (0.0, 0.3), (0.4, 0.4), (0.0, 0.0)]",0.85,0.8475948544059999,0.8375,0.8331279178338002,0.8625,0.8601438740138431,0.8625,0.8609375248074939
PD-252|partition|0,"[(0.0, 0.0), (0.0, 0.0), (0.2, 0.1), (0.0, 0.0), (0.3, 0.0)]",0.7129673195462669,0.7220448614586435,0.7048592114381588,0.7112670836808658,0.7022276324907903,0.70756368797747,0.7365913484334536,0.7528794799868826
PD-252|partition|1,"[(0.4, 0.0), (0.3, 0.1), (0.0, 0.0), (0.1, 0.0), (0.2, 0.1)]",0.7043494911915964,0.7057413818933008,0.7016467884888937,0.7025812987332176,0.6990152095415254,0.6987223263929037,0.7149469307364045,0.7212055694133852
