study,cohort,index,w0_ba,w05_ba,w03_ba,w07_ba,E_mean_ba,E_vote_ba,w0_f1,w05_f1,w03_f1,w07_f1,E_mean_f1,E_vote_f1
seed,PD-252,0,0.7409855199328883,0.7465705584126636,0.7495696100959258,0.7409171317066054,0.7465705584126636,0.743867855709961,0.7363088996236555,0.756381020034478,0.7556057159575822,0.7631425312535223,0.756381020034478,0.7521458388323227
seed,PD-252,1,0.7497346536820221,0.7410110515373672,0.7497118576065944,0.7382855527592371,0.7383083488346646,0.7383083488346646,0.7449862086284519,0.754544988277611,0.7560045154080243,0.7604554730677966,0.7497549674875902,0.7497549674875902
seed,PD-252,2,0.7567148119779699,0.7436426304847357,0.7676569281832439,0.7329512711091659,0.7492732611153665,0.7569655688076742,0.7532589946800472,0.7586357016255201,0.7749493947622732,0.7508008883008883,0.7616873901289165,0.7689503482311701
seed,PD-252,3,0.7362694678484153,0.7305449173870227,0.7468669073932231,0.7389265784002625,0.72784221468432,0.72784221468432,0.7360435996583824,0.7416571638136488,0.75127175853438,0.759600784673801,0.737458463962775,0.737458463962775
seed,PD-252,4,0.7359959149432834,0.757239121712806,0.7625961994383047,0.7466188860925703,0.7679304810883758,0.7679304810883758,0.7310838751954135,0.7731347876275413,0.7708497178673819,0.7676269059897752,0.7793240261677772,0.7793240261677772
seed,PD-252,5,0.7173988766094029,0.7279133384396542,0.7336150928256192,0.7119360250939197,0.7175894517999781,0.7175894517999781,0.7173701383846312,0.7369306914234451,0.740955022440071,0.7308436787542478,0.7264043557154912,0.7264043557154912
seed,PD-252,6,0.7149925228872598,0.72784221468432,0.7391034759455811,0.7305221213115949,0.7341138709559762,0.7341138709559762,0.7097546983880536,0.736622244354867,0.7450804317338898,0.7504897094775143,0.7414526874385917,0.7414526874385917
seed,PD-252,7,0.7070977860451546,0.7485611117190065,0.7354150709413869,0.759300798774483,0.748857460699566,0.7514890396469344,0.7000735375735376,0.7608045778120601,0.7355720984984371,0.7780725969017108,0.7563323847739112,0.7601279769087987
seed,PD-252,8,0.7197569026516394,0.7464994346573295,0.7518565123828281,0.7385107779844622,0.7522011890432944,0.7548327679906628,0.7185913097084293,0.7563434672025799,0.754136021872864,0.7538331186097211,0.7591038646998195,0.7634378221230218
seed,PD-252,9,0.7104898420687895,0.722852609694715,0.7158241237188606,0.7228298136192872,0.7124575992997046,0.709754896597002,0.7116503797111026,0.733420591753925,0.7190881754312028,0.742860208177127,0.7234999568332902,0.7193012569824164
seed,PD-252,10,0.7409855199328883,0.7409399277820331,0.7572619177882336,0.7382855527592371,0.743867855709961,0.743867855709961,0.7351818119564066,0.7531455899089838,0.762070418210769,0.7591562397672309,0.7520470626112759,0.7520470626112759
