column,family
gender,Demographics
PPE,Vocal/time-frequency
DFA,Vocal/time-frequency
RPDE,Vocal/time-frequency
numPulses,Vocal/time-frequency
numPeriodsPulses,Vocal/time-frequency
meanPeriodPulses,Vocal/time-frequency
stdDevPeriodPulses,Vocal/time-frequency
locPctJitter,Vocal/time-frequency
locAbsJitter,Vocal/time-frequency
rapJitter,Vocal/time-frequency
ppq5Jitter,Vocal/time-frequency
ddpJitter,Vocal/time-frequency
locShimmer,Vocal/time-frequency
locDbShimmer,Vocal/time-frequency
apq3Shimmer,Vocal/time-frequency
apq5Shimmer,Vocal/time-frequency
apq11Shimmer,Vocal/time-frequency
ddaShimmer,Vocal/time-frequency
meanAutoCorrHarmonicity,Vocal/time-frequency
meanNoiseToHarmHarmonicity,Vocal/time-frequency
meanHarmToNoiseHarmonicity,Vocal/time-frequency
minIntensity,Vocal/time-frequency
maxIntensity,Vocal/time-frequency
meanIntensity,Vocal/time-frequency
f1,Vocal/time-frequency
f2,Vocal/time-frequency
f3,Vocal/time-frequency
f4,Vocal/time-frequency
b1,Vocal/time-frequency
b2,Vocal/time-frequency
b3,Vocal/time-frequency
b4,Vocal/time-frequency
GQ_prc5_95,Vocal/time-frequency
GQ_std_cycle_open,Vocal/time-frequency
GQ_std_cycle_closed,Vocal/time-frequency
GNE_mean,Vocal/time-frequency
GNE_std,Vocal/time-frequency
GNE_SNR_TKEO,Vocal/time-frequency
GNE_SNR_SEO,Vocal/time-frequency
GNE_NSR_TKEO,Vocal/time-frequency
GNE_NSR_SEO,Vocal/time-frequency
VFER_mean,Vocal/time-frequency
VFER_std,Vocal/time-frequency
VFER_entropy,Vocal/time-frequency
VFER_SNR_TKEO,Vocal/time-frequency
VFER_SNR_SEO,Vocal/time-frequency
VFER_NSR_TKEO,Vocal/time-frequency
VFER_NSR_SEO,Vocal/time-frequency
IMF_SNR_SEO,IMF/EMD
IMF_SNR_TKEO,IMF/EMD
IMF_SNR_entropy,IMF/EMD
IMF_NSR_SEO,IMF/EMD
IMF_NSR_TKEO,IMF/EMD
IMF_NSR_entropy,IMF/EMD
mean_Log_energy,MFCC
mean_MFCC_0th_coef,MFCC
mean_MFCC_1st_coef,MFCC
mean_MFCC_2nd_coef,MFCC
mean_MFCC_3rd_coef,MFCC
mean_MFCC_4th_coef,MFCC
mean_MFCC_5th_coef,MFCC
mean_MFCC_6th_coef,MFCC
mean_MFCC_7th_coef,MFCC
mean_MFCC_8th_coef,MFCC
mean_MFCC_9th_coef,MFCC
mean_MFCC_10th_coef,MFCC
mean_MFCC_11th_coef,MFCC
mean_MFCC_12th_coef,MFCC
mean_delta_log_energy,MFCC
mean_0th_delta,MFCC
mean_1st_delta,MFCC
mean_2nd_delta,MFCC
mean_3rd_delta,MFCC
mean_4th_delta,MFCC
mean_5th_delta,MFCC
mean_6th_delta,MFCC
mean_7th_delta,MFCC
mean_8th_delta,MFCC
mean_9th_delta,MFCC
mean_10th_delta,MFCC
mean_11th_delta,MFCC
mean_12th_delta,MFCC
mean_delta_delta_log_energy,MFCC
mean_delta_delta_0th,MFCC
mean_1st_delta_delta,MFCC
mean_2nd_delta_delta,MFCC
mean_3rd_delta_delta,MFCC
mean_4th_delta_delta,MFCC
mean_5th_delta_delta,MFCC
mean_6th_delta_delta,MFCC
mean_7th_delta_delta,MFCC
mean_8th_delta_delta,MFCC
mean_9th_delta_delta,MFCC
mean_10th_delta_delta,MFCC
mean_11th_delta_delta,MFCC
mean_12th_delta_delta,MFCC
std_Log_energy,MFCC
std_MFCC_0th_coef,MFCC
std_MFCC_1st_coef,MFCC
std_MFCC_2nd_coef,MFCC
std_MFCC_3rd_coef,MFCC
std_MFCC_4th_coef,MFCC
std_MFCC_5th_coef,MFCC
std_MFCC_6th_coef,MFCC
std_MFCC_7th_coef,MFCC
std_MFCC_8th_coef,MFCC
std_MFCC_9th_coef,MFCC
std_MFCC_10th_coef,MFCC
std_MFCC_11th_coef,MFCC
std_MFCC_12th_coef,MFCC
std_delta_log_energy,MFCC
std_0th_delta,MFCC
std_1st_delta,MFCC
std_2nd_delta,MFCC
std_3rd_delta,MFCC
std_4th_delta,MFCC
std_5th_delta,MFCC
std_6th_delta,MFCC
std_7th_delta,MFCC
std_8th_delta,MFCC
std_9th_delta,MFCC
std_10th_delta,MFCC
std_11th_delta,MFCC
std_12th_delta,MFCC
std_delta_delta_log_energy,MFCC
std_delta_delta_0th,MFCC
std_1st_delta_delta,MFCC
std_2nd_delta_delta,MFCC
std_3rd_delta_delta,MFCC
std_4th_delta_delta,MFCC
std_5th_delta_delta,MFCC
std_6th_delta_delta,MFCC
std_7th_delta_delta,MFCC
std_8th_delta_delta,MFCC
std_9th_delta_delta,MFCC
std_10th_delta_delta,MFCC
std_11th_delta_delta,MFCC
std_12th_delta_delta,MFCC
Ea,Wavelet
Ed_1_coef,Wavelet
Ed_2_coef,Wavelet
Ed_3_coef,Wavelet
Ed_4_coef,Wavelet
Ed_5_coef,Wavelet
Ed_6_coef,Wavelet
Ed_7_coef,Wavelet
Ed_8_coef,Wavelet
Ed_9_coef,Wavelet
Ed_10_coef,Wavelet
det_entropy_shannon_1_coef,Wavelet
det_entropy_shannon_2_coef,Wavelet
det_entropy_shannon_3_coef,Wavelet
det_entropy_shannon_4_coef,Wavelet
det_entropy_shannon_5_coef,Wavelet
det_entropy_shannon_6_coef,Wavelet
det_entropy_shannon_7_coef,Wavelet
det_entropy_shannon_8_coef,Wavelet
det_entropy_shannon_9_coef,Wavelet
det_entropy_shannon_10_coef,Wavelet
det_entropy_log_1_coef,Wavelet
det_entropy_log_2_coef,Wavelet
det_entropy_log_3_coef,Wavelet
det_entropy_log_4_coef,Wavelet
det_entropy_log_5_coef,Wavelet
det_entropy_log_6_coef,Wavelet
det_entropy_log_7_coef,Wavelet
det_entropy_log_8_coef,Wavelet
det_entropy_log_9_coef,Wavelet
det_entropy_log_10_coef,Wavelet
det_TKEO_mean_1_coef,Wavelet
det_TKEO_mean_2_coef,Wavelet
det_TKEO_mean_3_coef,Wavelet
det_TKEO_mean_4_coef,Wavelet
det_TKEO_mean_5_coef,Wavelet
det_TKEO_mean_6_coef,Wavelet
det_TKEO_mean_7_coef,Wavelet
det_TKEO_mean_8_coef,Wavelet
det_TKEO_mean_9_coef,Wavelet
det_TKEO_mean_10_coef,Wavelet
det_TKEO_std_1_coef,Wavelet
det_TKEO_std_2_coef,Wavelet
det_TKEO_std_3_coef,Wavelet
det_TKEO_std_4_coef,Wavelet
det_TKEO_std_5_coef,Wavelet
det_TKEO_std_6_coef,Wavelet
det_TKEO_std_7_coef,Wavelet
det_TKEO_std_8_coef,Wavelet
det_TKEO_std_9_coef,Wavelet
det_TKEO_std_10_coef,Wavelet
app_entropy_shannon_1_coef,Wavelet
app_entropy_shannon_2_coef,Wavelet
app_entropy_shannon_3_coef,Wavelet
app_entropy_shannon_4_coef,Wavelet
app_entropy_shannon_5_coef,Wavelet
app_entropy_shannon_6_coef,Wavelet
app_entropy_shannon_7_coef,Wavelet
app_entropy_shannon_8_coef,Wavelet
app_entropy_shannon_9_coef,Wavelet
app_entropy_shannon_10_coef,Wavelet
app_entropy_log_1_coef,Wavelet
app_entropy_log_2_coef,Wavelet
app_entropy_log_3_coef,Wavelet
app_entropy_log_4_coef,Wavelet
app_entropy_log_5_coef,Wavelet
app_entropy_log_6_coef,Wavelet
app_entropy_log_7_coef,Wavelet
app_entropy_log_8_coef,Wavelet
app_entropy_log_9_coef,Wavelet
app_entropy_log_10_coef,Wavelet
app_det_TKEO_mean_1_coef,Wavelet
app_det_TKEO_mean_2_coef,Wavelet
app_det_TKEO_mean_3_coef,Wavelet
app_det_TKEO_mean_4_coef,Wavelet
app_det_TKEO_mean_5_coef,Wavelet
app_det_TKEO_mean_6_coef,Wavelet
app_det_TKEO_mean_7_coef,Wavelet
app_det_TKEO_mean_8_coef,Wavelet
app_det_TKEO_mean_9_coef,Wavelet
app_det_TKEO_mean_10_coef,Wavelet
app_TKEO_std_1_coef,Wavelet
app_TKEO_std_2_coef,Wavelet
app_TKEO_std_3_coef,Wavelet
app_TKEO_std_4_coef,Wavelet
app_TKEO_std_5_coef,Wavelet
app_TKEO_std_6_coef,Wavelet
app_TKEO_std_7_coef,Wavelet
app_TKEO_std_8_coef,Wavelet
app_TKEO_std_9_coef,Wavelet
app_TKEO_std_10_coef,Wavelet
Ea2,Wavelet
Ed2_1_coef,Wavelet
Ed2_2_coef,Wavelet
Ed2_3_coef,Wavelet
Ed2_4_coef,Wavelet
Ed2_5_coef,Wavelet
Ed2_6_coef,Wavelet
Ed2_7_coef,Wavelet
Ed2_8_coef,Wavelet
Ed2_9_coef,Wavelet
Ed2_10_coef,Wavelet
det_LT_entropy_shannon_1_coef,Wavelet
det_LT_entropy_shannon_2_coef,Wavelet
det_LT_entropy_shannon_3_coef,Wavelet
det_LT_entropy_shannon_4_coef,Wavelet
det_LT_entropy_shannon_5_coef,Wavelet
det_LT_entropy_shannon_6_coef,Wavelet
det_LT_entropy_shannon_7_coef,Wavelet
det_LT_entropy_shannon_8_coef,Wavelet
det_LT_entropy_shannon_9_coef,Wavelet
det_LT_entropy_shannon_10_coef,Wavelet
det_LT_entropy_log_1_coef,Wavelet
det_LT_entropy_log_2_coef,Wavelet
det_LT_entropy_log_3_coef,Wavelet
det_LT_entropy_log_4_coef,Wavelet
det_LT_entropy_log_5_coef,Wavelet
