cohort,fold,view,method,w,ba,f1
UCI-489,1,U,fixed,0.0,0.875,0.873015873015873
UCI-489,1,U,fixed,0.1,0.875,0.873015873015873
UCI-489,1,U,fixed,0.2,0.875,0.873015873015873
UCI-489,1,U,fixed,0.3,0.875,0.873015873015873
UCI-489,1,U,fixed,0.4,0.8125,0.805668016194332
UCI-489,1,U,fixed,0.5,0.875,0.873015873015873
UCI-489,1,U,fixed,0.6,0.875,0.873015873015873
UCI-489,1,U,fixed,0.7,0.875,0.873015873015873
UCI-489,1,U,fixed,0.8,0.875,0.873015873015873
UCI-489,1,U,fixed,0.9,0.8125,0.8117647058823529
UCI-489,1,U,fixed,1.0,0.5,0.4666666666666667
UCI-489,1,U,product,,0.8125,0.805668016194332
UCI-489,1,U,alignment,0.0,0.875,0.873015873015873
UCI-489,1,U,nested,0.5,0.875,0.873015873015873
UCI-489,1,C,fixed,0.0,0.875,0.873015873015873
UCI-489,1,C,fixed,0.1,0.875,0.873015873015873
UCI-489,1,C,fixed,0.2,0.875,0.873015873015873
UCI-489,1,C,fixed,0.3,0.875,0.873015873015873
UCI-489,1,C,fixed,0.4,0.875,0.873015873015873
UCI-489,1,C,fixed,0.5,0.875,0.873015873015873
UCI-489,1,C,fixed,0.6,0.875,0.873015873015873
UCI-489,1,C,fixed,0.7,0.875,0.873015873015873
UCI-489,1,C,fixed,0.8,0.875,0.873015873015873
UCI-489,1,C,fixed,0.9,0.875,0.873015873015873
UCI-489,1,C,fixed,1.0,0.6875,0.6761133603238867
UCI-489,1,C,product,,0.875,0.873015873015873
UCI-489,1,C,alignment,0.0,0.875,0.873015873015873
UCI-489,1,C,nested,0.5,0.875,0.873015873015873
UCI-489,2,U,fixed,0.0,0.875,0.873015873015873
UCI-489,2,U,fixed,0.1,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.2,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.3,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.4,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.5,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.6,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.7,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.8,0.8125,0.8117647058823529
UCI-489,2,U,fixed,0.9,0.75,0.746031746031746
UCI-489,2,U,fixed,1.0,0.75,0.75
UCI-489,2,U,product,,0.8125,0.8117647058823529
UCI-489,2,U,alignment,0.0,0.875,0.873015873015873
UCI-489,2,U,nested,0.1,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.0,0.875,0.873015873015873
UCI-489,2,C,fixed,0.1,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.2,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.3,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.4,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.5,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.6,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.7,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.8,0.8125,0.8117647058823529
UCI-489,2,C,fixed,0.9,0.8125,0.8117647058823529
UCI-489,2,C,fixed,1.0,0.8125,0.8117647058823529
UCI-489,2,C,product,,0.875,0.873015873015873
UCI-489,2,C,alignment,0.0,0.875,0.873015873015873
UCI-489,2,C,nested,0.5,0.8125,0.8117647058823529
