cohort,partition_seed,fused_w0.5_ba,fused_w0.5_f1,euclidean_rbf_w0_ba,euclidean_rbf_w0_f1,grassmann_only_w1_ba,grassmann_only_w1_f1,smote_rbf_ba,smote_rbf_f1,balanced_logreg_ba,balanced_logreg_f1
UCI-489,0,0.8625,0.862156862745098,0.8625,0.862156862745098,0.7125,0.705816142921406,0.8625,0.862156862745098,0.85,0.8482166199813259
UCI-489,1,0.875,0.8746078431372549,0.8375,0.8366619981325863,0.6125,0.6035854341736695,0.8375,0.8366619981325863,0.825,0.8239122315592905
UCI-489,2,0.8625,0.8619561157796453,0.8625,0.8619561157796453,0.625,0.6208403361344539,0.8625,0.8619561157796453,0.8625,0.8613632119514472
UCI-489,3,0.85,0.8488095238095237,0.8375,0.8361624649859944,0.625,0.614998582428923,0.8375,0.8361624649859944,0.85,0.8460737628384688
UCI-489,4,0.8375,0.8362605042016806,0.85,0.8488095238095237,0.6625,0.6579490959676718,0.85,0.8488095238095237,0.8,0.7951820728291317
UCI-489,5,0.85,0.8483146591970121,0.8625,0.8612605042016807,0.6125,0.5882620303672935,0.8625,0.8612605042016807,0.825,0.823515406162465
UCI-489,6,0.825,0.82025125029769,0.825,0.82025125029769,0.65,0.6225176131058483,0.825,0.82025125029769,0.8,0.7998039215686275
UCI-489,7,0.875,0.8739122315592903,0.85,0.8490102707749767,0.675,0.6532890501311555,0.85,0.8490102707749767,0.8375,0.8359663865546217
UCI-489,8,0.8625,0.8620541549953316,0.85,0.849407096171802,0.6125,0.5994792410891483,0.85,0.849407096171802,0.825,0.8215762634338486
UCI-489,9,0.85,0.8478936405871391,0.8375,0.8347470486170178,0.625,0.6074280621339445,0.8375,0.8347470486170178,0.825,0.8225756132412478
UCI-489,10,0.85,0.8490102707749767,0.8625,0.8613632119514472,0.6375,0.6216262031741909,0.8625,0.8613632119514472,0.8,0.7995098039215686
UCI-489,11,0.8375,0.8316097937150569,0.825,0.819359560288353,0.6875,0.6704517120306595,0.825,0.819359560288353,0.775,0.7668198777486703
UCI-489,12,0.8375,0.8369561157796452,0.8375,0.8367600373482726,0.675,0.6602443170864223,0.8375,0.8367600373482726,0.7875,0.783752650857914
UCI-489,13,0.85,0.8477909328373725,0.85,0.8477909328373725,0.6875,0.6753688141923437,0.85,0.8477909328373725,0.85,0.8493090569561158
UCI-489,14,0.85,0.8496031746031747,0.8625,0.8620541549953314,0.65,0.632049062049062,0.8625,0.8620541549953314,0.8,0.7993090569561158
UCI-489,15,0.8625,0.8609375248074939,0.85,0.8482904659839644,0.7,0.6908906882591094,0.85,0.8482904659839644,0.85,0.8491083099906629
UCI-489,16,0.8625,0.8620541549953314,0.8625,0.8620541549953314,0.6875,0.6822408963585435,0.8625,0.8620541549953314,0.825,0.8243090569561158
UCI-489,17,0.8375,0.837156862745098,0.825,0.8232166199813259,0.625,0.5913814128917105,0.825,0.8232166199813259,0.85,0.8478936405871391
UCI-489,18,0.85,0.8491129785247432,0.85,0.8482166199813259,0.65,0.640859010270775,0.85,0.8482166199813259,0.8125,0.8104426601949821
UCI-489,19,0.8625,0.8609375248074939,0.8625,0.8601438740138431,0.65,0.6193245739618065,0.8625,0.8601438740138431,0.8375,0.8309375248074939
PD-252,0,0.7365913484334536,0.7528794799868826,0.7022276324907903,0.70756368797747,0.6271555968924389,0.6440096129547911,0.6993225006382902,0.7016092459657297,0.7256492322281796,0.7313926417347469
PD-252,1,0.7149469307364045,0.7212055694133852,0.6990152095415254,0.6987223263929037,0.611628733997155,0.6184209616915399,0.6850366560892877,0.6704686748292394,0.7160457015720174,0.7207383591334564
PD-252,2,0.7275458657037605,0.7464265926603837,0.7269987598934968,0.7360365774576302,0.6430389904074113,0.6582206555908319,0.7186170988802567,0.7184361945968991,0.7529926687821424,0.7611427219867958
PD-252,3,0.7105983513878251,0.7247852654637691,0.7124092716197978,0.7175821338082728,0.6200331910858227,0.6336665721308375,0.6883092606776817,0.6808846166071845,0.7359849728270781,0.7422899046127762
PD-252,4,0.7179341284604442,0.7215396253919591,0.6859995623153518,0.6819815137555383,0.6221659919028341,0.6266938613707991,0.6938569135937558,0.6839431264380439,0.7453824269613744,0.7485459363578231
PD-252,5,0.7217164532954007,0.7295062532473073,0.7342670605828501,0.7396619714209782,0.6206742167268482,0.6327686744359703,0.741412262464894,0.738709682762028,0.707977714556662,0.7193057313903997
PD-252,6,0.7368165736586789,0.7479498735581637,0.7280902359849728,0.7256736460134292,0.6270844731371048,0.6446750188132746,0.7117199182988656,0.7083653586687013,0.737255170149907,0.7460807099594285
PD-252,7,0.7422821607032133,0.7595143250423064,0.7519878177772914,0.7622945385547703,0.6282954006638217,0.6380873955894355,0.7357114199219463,0.7347609230287973,0.738260021154758,0.7416251675462202
PD-252,8,0.7157302038880987,0.7305108291302497,0.7255069847175111,0.7309636544664642,0.6250227960754277,0.6405759829405648,0.6991802531276214,0.6973008234955781,0.712693766641135,0.7191711934137562
PD-252,9,0.7558184702921545,0.7703498588456393,0.7373864755443703,0.7433693096664165,0.6354889302257722,0.6485218240618396,0.718549622496991,0.7140588769088252,0.7544880913301967,0.7619764107230445
PD-252,10,0.7070330451909399,0.7196042181997052,0.7140469416785207,0.7143383857905914,0.6174016121384542,0.6247202118626152,0.7048218258744574,0.6957890095609394,0.7210982237298026,0.7194957389135472
PD-252,11,0.703048291206186,0.7214946885317275,0.7079065908013277,0.7194513326232119,0.6233057956742167,0.6341396603460946,0.7217583980741875,0.720851718090443,0.7013504395083343,0.7120750590233454
PD-252,12,0.7094694897326477,0.7219097581797811,0.7278531568005253,0.7378407664036953,0.6213827187511398,0.6372894858875935,0.7060291060291061,0.7006550940761468,0.7121238647554439,0.7184868464868466
PD-252,13,0.726837363679469,0.7397926721418377,0.7235164314111683,0.7271905602185416,0.6321452018820439,0.6471652888797795,0.7041215304373198,0.6902135183547036,0.6955401758033337,0.6954302720465871
PD-252,14,0.7402277783856731,0.7542709240210905,0.7609092898566583,0.763084907180477,0.6591357551883867,0.6764582201132013,0.7500382974067185,0.7422858925290109,0.7407484407484407,0.7436396174382445
PD-252,15,0.7264179158916001,0.7323789103674644,0.7282999598789073,0.7244984155407386,0.6321452018820439,0.6500047768104111,0.7416940219571798,0.736322652023458,0.7503720319509795,0.7524697597565833
PD-252,16,0.7157302038880986,0.7256889955094715,0.7075619141408616,0.7084494935084148,0.6109165846007951,0.6178171995203459,0.7073713389502865,0.7001815193285023,0.7414615019878178,0.7397726885778327
PD-252,17,0.7202210307473466,0.7322940104166953,0.7223766276397855,0.7293608157599385,0.61818123791808,0.6249838935340841,0.7202547689389794,0.7209223115639201,0.7353320932268301,0.737849230759392
PD-252,18,0.7161651530072582,0.7272031632313383,0.7372515227778386,0.7463044794623742,0.5955319692161798,0.5999889706036743,0.7081619068461174,0.7020776326297142,0.7255781084728452,0.7344691840294482
PD-252,19,0.7462067330488382,0.7607403707403707,0.7670906736696211,0.7716194964455834,0.6270844731371048,0.6451156019785048,0.7219042929569246,0.7144989668817358,0.726219134113871,0.7339009518323019
