cohort,rank,model,ba_mean,ba_se,f1_mean,f1_se
UCI-489,2,fused_w0.5,0.8375,0.03186887195995491,0.8335277106794134,0.03280740324916214
UCI-489,2,euclidean_rbf_w0,0.8625,0.041457809879442496,0.8595463016515648,0.04235476600490527
UCI-489,2,grassmann_only_w1,0.675,0.049999999999999996,0.6599176571622392,0.05711485950650378
UCI-489,3,fused_w0.5,0.85,0.04238956239453292,0.8472960682248608,0.04314500811975592
UCI-489,3,euclidean_rbf_w0,0.8625,0.041457809879442496,0.8595463016515648,0.04235476600490527
UCI-489,3,grassmann_only_w1,0.6,0.046770717334674264,0.5744733044733045,0.0499961601777223
PD-252,2,fused_w0.5,0.7386530254951308,0.03705437066908311,0.7551938548767759,0.032425705641320426
PD-252,2,euclidean_rbf_w0,0.7336150928256192,0.030247770529864312,0.7444072774004281,0.028422164270932908
PD-252,2,grassmann_only_w1,0.6609950031002663,0.04426971422366562,0.6754466779804181,0.04857416635907307
PD-252,3,fused_w0.5,0.7309607178028231,0.032406444646666054,0.7493791023689208,0.030898352018309434
PD-252,3,euclidean_rbf_w0,0.7434629974103659,0.02068341790732119,0.7453100992574677,0.018775545392625353
PD-252,3,grassmann_only_w1,0.6355600539811066,0.03841006807714461,0.6466688499941478,0.05081426466523797
