cohort,model,ba_mean,ba_se,f1_mean,f1_se,TN,FP,FN,TP,n_synthetic_total
UCI-489,fused_w0.5,0.85,0.0423895623945329,0.8472960682248608,0.0431450081197559,34,6,6,34,0
UCI-489,euclidean_rbf_w0,0.8625,0.0414578098794424,0.8595463016515648,0.0423547660049052,34,6,5,35,0
UCI-489,grassmann_only_w1,0.6,0.0467707173346742,0.5744733044733045,0.0499961601777223,26,14,18,22,0
UCI-489,balanced_logreg,0.775,0.0423895623945329,0.7701532110820037,0.0426678011578665,30,10,8,32,0
UCI-489,balanced_linear_svm,0.7125,0.0153093108923948,0.7035732619633549,0.0149928715390082,29,11,12,28,0
UCI-489,smote_logreg,0.775,0.0423895623945329,0.7701532110820037,0.0426678011578665,30,10,8,32,0
UCI-489,smote_rbf,0.8625,0.0414578098794424,0.8595463016515648,0.0423547660049052,34,6,5,35,0
PD-252,fused_w0.5,0.7309607178028231,0.032406444646666,0.7493791023689208,0.0308983520183094,34,30,13,175,496
PD-252,euclidean_rbf_w0,0.7434629974103659,0.0206834179073211,0.7453100992574677,0.0187755453926253,39,25,23,165,496
PD-252,grassmann_only_w1,0.6355600539811066,0.0384100680771446,0.6466688499941478,0.0508142646652379,19,45,5,183,496
PD-252,balanced_logreg,0.7299978115767589,0.011102239607593,0.7358341091632231,0.01045220289153,37,27,22,166,0
PD-252,balanced_linear_svm,0.722234380129117,0.0140454140142326,0.7296094179572441,0.0148947850598101,36,28,22,166,0
PD-252,smote_logreg,0.7299266878214248,0.0094661732832762,0.7354339441108841,0.0056819133544689,37,27,22,166,496
PD-252,smote_rbf,0.7281841558157347,0.0223241010170886,0.7142576915917639,0.0128917258846487,40,24,32,156,496
