study,cohort,index,w,ba,f1
seed,PD-252,0,0.0,0.7409855199328883,0.7363088996236555
seed,PD-252,0,0.1,0.7389721705511179,0.7416290162296979
seed,PD-252,0,0.2,0.733982565561513,0.7378616986877857
seed,PD-252,0,0.3,0.7495696100959258,0.7556057159575822
seed,PD-252,0,0.4,0.743867855709961,0.7521458388323227
seed,PD-252,0,0.5,0.7465705584126636,0.756381020034478
seed,PD-252,0,0.6,0.7545364190101033,0.7685569748305504
seed,PD-252,0,0.7,0.7409171317066054,0.7631425312535223
seed,PD-252,0,0.8,0.7128506036400772,0.7333252061329969
seed,PD-252,0,0.9,0.699527665317139,0.7234106402203379
seed,PD-252,0,1.0,0.6201754385964912,0.6256697837009638
seed,PD-252,1,0.0,0.7497346536820221,0.7449862086284519
seed,PD-252,1,0.1,0.7523662326293905,0.7488070262545149
seed,PD-252,1,0.2,0.7470091549038916,0.7510861284311636
seed,PD-252,1,0.3,0.7497118576065944,0.7560045154080243
seed,PD-252,1,0.4,0.7383083488346646,0.7497549674875902
seed,PD-252,1,0.5,0.7410110515373672,0.754544988277611
seed,PD-252,1,0.6,0.7333187438450596,0.7486151637162075
seed,PD-252,1,0.7,0.7382855527592371,0.7604554730677966
seed,PD-252,1,0.8,0.7352865010759748,0.759202635217135
seed,PD-252,1,0.9,0.6995276653171391,0.7252670670502536
seed,PD-252,1,1.0,0.6272267206477732,0.6390415724522741
seed,PD-252,2,0.0,0.7567148119779699,0.7532589946800472
seed,PD-252,2,0.1,0.7596910675858044,0.7631824247453538
seed,PD-252,2,0.2,0.7650253492358756,0.7711508599637383
seed,PD-252,2,0.3,0.7676569281832439,0.7749493947622732
seed,PD-252,2,0.4,0.7569655688076742,0.7689503482311701
seed,PD-252,2,0.5,0.7436426304847357,0.7586357016255201
seed,PD-252,2,0.6,0.7379408760987708,0.7541808416808417
seed,PD-252,2,0.7,0.7329512711091659,0.7508008883008883
seed,PD-252,2,0.8,0.7409882554619397,0.7609816481767702
seed,PD-252,2,0.9,0.7078609986504724,0.7299922800187911
seed,PD-252,2,1.0,0.6355600539811066,0.6492497893466329
seed,PD-252,3,0.0,0.7362694678484153,0.7360435996583824
seed,PD-252,3,0.1,0.7285771601561076,0.7282482827023611
seed,PD-252,3,0.2,0.7442353284458548,0.747687503283458
seed,PD-252,3,0.3,0.7468669073932231,0.75127175853438
seed,PD-252,3,0.4,0.7355345223766276,0.7444175613108884
seed,PD-252,3,0.5,0.7305449173870227,0.7416571638136488
seed,PD-252,3,0.6,0.7412846044424992,0.7588505937134629
seed,PD-252,3,0.7,0.7389265784002625,0.759600784673801
seed,PD-252,3,0.8,0.7309379217273955,0.7561711697944047
seed,PD-252,3,0.9,0.7078609986504724,0.7342420508059391
seed,PD-252,3,1.0,0.6278677462887988,0.6364821086309359
seed,PD-252,4,0.0,0.7359959149432834,0.7310838751954135
seed,PD-252,4,0.1,0.7439617755407228,0.742787716109125
seed,PD-252,4,0.2,0.7519987598934967,0.7549524313939576
seed,PD-252,4,0.3,0.7625961994383047,0.7708497178673819
seed,PD-252,4,0.4,0.7679304810883758,0.7793240261677772
seed,PD-252,4,0.5,0.757239121712806,0.7731347876275413
seed,PD-252,4,0.6,0.7599418244155086,0.7779248084175621
seed,PD-252,4,0.7,0.7466188860925703,0.7676269059897752
seed,PD-252,4,0.8,0.71555330634278,0.7419696319351674
seed,PD-252,4,0.9,0.7001686909581647,0.7260151828229736
seed,PD-252,4,1.0,0.6278677462887989,0.639063047983421
seed,PD-252,5,0.0,0.7173988766094029,0.7173701383846312
seed,PD-252,5,0.1,0.7282096874202137,0.733019606414951
seed,PD-252,5,0.2,0.7205173797279061,0.7254267864665999
seed,PD-252,5,0.3,0.7336150928256192,0.740955022440071
seed,PD-252,5,0.4,0.7252817594922859,0.7334987106359332
